semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6000,2700,1,847.0,847,0,847,847,847,847,847,1,0.001181,1.0980e-6,0.97487,0.8709,4.2924,0.0000,4.4455,4.1491,1.5235,18.40770,0.7460,0.001640,0.1309,0.00384,0.00384,0.07760,95,0.0810,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6136,3300,1,903.0,903,0,903,903,903,903,903,1,0.001107,3.6305e-7,0.98770,0.9544,4.3829,0.0000,4.4897,4.2274,0.9933,12.60308,0.7293,0.001722,0.1363,0.00255,0.00255,0.07593,94,0.0789,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6271,3600,1,953.0,953,0,953,953,953,953,953,1,0.001049,2.3285e-7,0.97251,0.8600,4.3218,0.0000,4.4260,3.9341,0.4742,10.47482,0.7209,0.001604,0.1411,0.00288,0.00288,0.07833,92,0.0733,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6407,3850,1,1025.0,1025,0,1025,1025,1025,1025,1025,1,0.000976,3.4776e-7,0.99572,0.9710,4.2525,0.0000,4.4164,4.3200,0.0920,7.89030,0.7040,0.001688,0.1443,0.00298,0.00298,0.07662,96,0.0725,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6542,4000,1,1086.0,1086,0,1086,1086,1086,1086,1086,1,0.000921,5.1436e-7,0.98146,0.9264,4.3978,0.0000,4.5316,4.0064,0.2600,6.95904,0.6923,0.001886,0.1466,0.00352,0.00352,0.07761,92,0.0717,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6678,4000,1,1113.0,1113,0,1113,1113,1113,1113,1113,1,0.000898,7.1814e-7,0.99187,0.9264,4.3059,0.0000,4.4248,4.2634,0.5730,5.62471,0.6875,0.001975,0.1482,0.00432,0.00432,0.07792,105,0.0697,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6814,3800,1,1080.0,1080,0,1080,1080,1080,1080,1080,1,0.000926,1.4774e-6,0.99539,0.9413,4.3665,0.0000,4.4181,4.2606,0.8511,8.36750,0.6905,0.001617,0.1489,0.00399,0.00399,0.07825,108,0.0692,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6949,3500,1,1010.0,1010,0,1010,1010,1010,1010,1010,1,0.000990,1.1780e-6,0.99864,0.8600,4.2945,0.0000,4.4356,4.2341,1.0664,6.75084,0.6946,0.001771,0.1485,0.00401,0.00401,0.07787,101,0.0676,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.7085,3200,1,934.0,934,0,934,934,934,934,934,1,0.001071,3.4565e-7,0.97360,0.8912,4.3645,0.0000,4.3967,4.2062,1.1292,5.93291,0.6848,0.001889,0.1456,0.00347,0.00347,0.07682,95,0.0712,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.7220,2950,1,869.0,869,0,869,869,869,869,869,1,0.001151,9.8890e-7,0.98295,0.9007,4.3155,0.0000,4.4260,4.2393,1.3744,6.37617,0.7004,0.002079,0.1457,0.00350,0.00350,0.07797,98,0.0703,banda<=ruido,0
