semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6000,150,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,2.0942e-6,0.99347,0.7219,4.3530,0.0000,4.1996,4.1591,0.5676,19.02526,0.5672,0.001695,0.1792,0.00592,0.00592,0.07730,105,0.1992,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6136,150,1,3000.0,3000,5,3000,3000,3000,3000,3000,0,0.000333,6.3097e-7,0.94582,0.9183,4.3577,0.0000,4.1484,4.0810,0.4284,15.80191,0.5753,0.001869,0.1768,0.00591,0.00591,0.07811,103,0.2060,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6271,3650,1,92.0,92,0,92,92,92,92,92,1,0.010870,5.9260e-8,0.97098,0.9097,4.3640,0.1223,3.9691,4.2323,4.6386,174.33264,0.8387,0.001628,0.0850,0.00193,0.00193,0.07824,87,0.3011,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6407,200,1,39.0,39,0,39,39,39,39,39,1,0.025641,2.2154e-7,0.97314,0.9799,4.2532,0.0000,3.9870,4.3546,4.6596,159.68940,0.8462,0.001898,0.0821,0.00183,0.00183,0.07753,90,0.3057,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6542,200,1,35.0,35,0,35,35,35,35,35,1,0.028571,2.5808e-7,0.99325,0.9871,4.3030,0.0000,4.2318,4.1877,4.5950,166.83339,0.8628,0.001754,0.0799,0.00219,0.00219,0.07524,86,0.3070,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6678,200,1,34.0,34,0,34,34,34,34,34,1,0.029412,1.1038e-7,0.99071,0.9481,4.3407,0.0000,4.0880,4.2731,4.6165,168.56520,0.8678,0.001714,0.0772,0.00159,0.00159,0.07809,74,0.3112,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6814,200,1,34.0,34,0,34,34,34,34,34,1,0.029412,1.9483e-7,0.98526,0.9992,4.3249,0.3534,4.1574,4.3243,4.6166,192.40610,0.8751,0.001825,0.0747,0.00219,0.00219,0.07788,92,0.3138,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6949,200,1,34.0,34,0,34,34,34,34,34,1,0.029412,1.3145e-7,0.99221,0.8113,4.3529,0.0000,4.0503,4.0932,4.5682,193.59534,0.8878,0.001708,0.0727,0.00149,0.00149,0.07840,74,0.3161,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7085,200,1,35.0,35,0,35,35,35,35,35,1,0.028571,1.8007e-7,0.98488,0.9928,4.2653,0.8709,4.2298,4.2359,4.4884,186.79986,0.9037,0.001717,0.0710,0.00218,0.00218,0.07842,86,0.3183,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7220,200,1,38.0,38,0,38,38,38,38,38,1,0.026316,2.4507e-7,0.97538,0.9871,4.3853,0.9604,4.0570,4.1103,4.5117,180.20129,0.9048,0.001813,0.0686,0.00198,0.00198,0.07861,79,0.3219,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7356,200,1,52.0,52,0,52,52,52,52,52,1,0.019231,1.3038e-7,0.97977,0.9264,4.3240,0.3208,4.1151,4.1544,4.4212,167.80094,0.9149,0.001945,0.0674,0.00225,0.00225,0.07494,84,0.3236,banda<=ruido,0
2,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7492,4250,1,593.0,593,0,593,593,593,593,593,1,0.001686,2.6581e-7,0.96685,0.7978,4.2956,0.3208,4.2456,4.0933,2.0403,83.53218,0.8272,0.001790,0.0921,0.00234,0.00234,0.07711,84,0.2949,banda<=ruido,0
