ts,ciclo,bloque,control,cyc,r_arousal_AE,A_oido_fiab,A_oido_valor,A_oido_mod,A_oido_eventos,E_oido_fiab,E_oido_valor,E_oido_mod,E_oido_eventos,sends,A_OI,E_OI,A_H,E_H
06:46:48,ESTRES_2026-07-05,B00_basal,real,1,-0.1525,0.0000,0.0001,1.0000,2.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.2687,0.3212,0.0000,0.0050
06:52:33,ESTRES_2026-07-05,B04_digital_A_a_E,real,1,0.5644,0.0000,0.0000,1.0000,0.0000,0.0000,0.0634,1.0000,68.0000,144.0000,0.3252,0.2500,0.0000,0.0013
06:58:19,ESTRES_2026-07-05,B04c_shuffled_A_a_E,shuffled,1,0.7350,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,1.0000,130.0000,144.0000,0.2845,0.3883,0.0000,0.0010
07:04:05,ESTRES_2026-07-05,B05_digital_E_a_A,real,1,0.0570,0.0000,0.0000,1.0000,137.0000,0.0000,0.0062,1.0000,130.0000,141.0000,0.4329,0.2500,0.0000,0.0000
07:09:50,ESTRES_2026-07-05,B06_digital_bidir,real,1,-0.2051,0.0000,0.0572,1.0019,268.0000,0.0000,0.0000,1.0000,196.0000,274.0000,0.3149,0.2515,0.0000,0.0000
07:15:36,ESTRES_2026-07-05,B06c_null_bidir,null,1,-0.3228,0.0000,0.0001,1.0000,268.0000,0.0000,0.0372,1.0004,197.0000,0.0000,0.2911,0.2578,0.0000,0.0001
07:21:22,ESTRES_2026-07-05,B07_audio_canales,real,1,0.0993,0.0000,0.0000,1.0000,268.0000,0.0000,0.0114,1.0000,197.0000,0.0000,0.4997,0.2528,0.0000,0.0000
07:27:07,ESTRES_2026-07-05,B09_sociedad_ABCD,real,1,-0.0729,0.0000,0.0000,1.0000,268.0000,0.0000,0.0035,1.0000,197.0000,0.0000,0.2919,0.2601,0.0000,0.0000
07:32:53,ESTRES_2026-07-05,B10_todos_con_todos,real,1,-0.3329,0.0000,0.0370,1.0019,391.0000,0.0000,0.0000,1.0000,262.0000,274.0000,0.3619,0.2994,0.0000,0.0000
07:38:39,ESTRES_2026-07-05,B00_basal,real,2,-0.1458,0.0000,0.0000,1.0000,392.0000,0.0000,0.0334,1.0020,263.0000,0.0000,0.3464,0.3476,0.0000,0.0000
07:44:25,ESTRES_2026-07-05,B04_digital_A_a_E,real,2,-0.1280,0.0000,0.0000,1.0000,392.0000,0.0000,0.0000,1.0000,330.0000,144.0000,0.4220,0.3680,0.0000,0.0000
07:50:10,ESTRES_2026-07-05,B04c_shuffled_A_a_E,shuffled,2,-0.2722,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,397.0000,144.0000,0.2930,0.4675,0.0000,0.0000
07:55:56,ESTRES_2026-07-05,B05_digital_E_a_A,real,2,-0.0584,0.0000,0.0708,1.0000,524.0000,0.0000,0.0088,1.0004,398.0000,141.0000,0.2927,0.3025,0.0000,0.0000
08:01:41,ESTRES_2026-07-05,B06_digital_bidir,real,2,-0.1480,0.0000,0.0000,1.0000,655.0000,0.0000,0.0662,1.0000,465.0000,274.0000,0.2936,0.2694,0.0000,0.0000
08:07:27,ESTRES_2026-07-05,B06c_null_bidir,null,2,-0.0612,0.0000,0.0000,1.0000,655.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.2931,0.4032,0.0000,0.0000
08:13:13,ESTRES_2026-07-05,B07_audio_canales,real,2,0.1622,0.0000,0.0000,1.0000,655.0000,0.0000,0.0248,1.0006,466.0000,0.0000,0.2940,0.2791,0.0000,0.0000
08:18:58,ESTRES_2026-07-05,B09_sociedad_ABCD,real,2,0.1671,0.0000,0.0000,1.0000,655.0000,0.0000,0.0076,1.0000,466.0000,0.0000,0.2939,0.2975,0.0000,0.0000
08:24:44,ESTRES_2026-07-05,B10_todos_con_todos,real,2,0.1354,0.0000,0.0370,1.0019,784.0000,0.0000,0.0000,1.0000,531.0000,274.0000,0.3636,0.4282,0.0000,0.0000
08:30:29,ESTRES_2026-07-05,B00_basal,real,3,-0.2966,0.0000,0.0000,1.0000,785.0000,0.0000,0.0886,1.0003,532.0000,0.0000,0.4149,0.2790,0.0000,0.0000
08:36:15,ESTRES_2026-07-05,B04_digital_A_a_E,real,3,-0.2660,0.0000,0.0000,1.0000,785.0000,0.0000,0.0000,1.0000,599.0000,144.0000,0.4358,0.3981,0.0000,0.0000
08:42:01,ESTRES_2026-07-05,B04c_shuffled_A_a_E,shuffled,3,-0.2865,0.0000,0.0000,1.0000,785.0000,0.0000,0.0000,1.0000,666.0000,144.0000,0.2953,0.2944,0.0000,0.0000
08:47:47,ESTRES_2026-07-05,B05_digital_E_a_A,real,3,-0.2273,0.0000,0.0000,1.0000,918.0000,0.0000,0.0000,1.0000,667.0000,141.0000,0.3214,0.3062,0.0000,0.0000
08:53:32,ESTRES_2026-07-05,B06_digital_bidir,real,3,-0.1849,0.0000,0.0000,1.0000,1046.0000,0.0000,0.0000,1.0000,732.0000,274.0000,0.2957,0.3270,0.0000,0.0000
08:59:18,ESTRES_2026-07-05,B06c_null_bidir,null,3,-0.1029,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,733.0000,0.0000,0.4929,0.4017,0.0000,0.0000
09:05:04,ESTRES_2026-07-05,B07_audio_canales,real,3,0.0109,0.0000,0.0000,1.0000,1047.0000,0.0000,0.0000,1.0000,733.0000,0.0000,0.4748,0.2844,0.0000,0.0000
09:10:49,ESTRES_2026-07-05,B09_sociedad_ABCD,real,3,-0.2355,0.0000,0.0000,1.0000,1047.0000,0.0000,0.0000,1.0000,733.0000,0.0000,0.2963,0.3318,0.0000,0.0000
09:16:35,ESTRES_2026-07-05,B10_todos_con_todos,real,3,0.1616,0.0000,0.0885,1.0000,1177.0000,0.0000,0.0000,1.0000,796.0000,274.0000,0.3326,0.3345,0.0000,0.0000
09:22:21,ESTRES_2026-07-05,B00_basal,real,4,-0.1992,0.0000,0.0000,1.0000,1178.0000,0.0000,0.0000,1.0000,797.0000,0.0000,0.2967,0.2867,0.0000,0.0000
09:28:06,ESTRES_2026-07-05,B04_digital_A_a_E,real,4,-0.3410,0.0000,0.0000,1.0000,1178.0000,0.0000,0.0000,1.0000,864.0000,144.0000,0.4927,0.3690,0.0000,0.0000
09:33:52,ESTRES_2026-07-05,B04c_shuffled_A_a_E,shuffled,4,-0.4042,0.0000,0.0000,1.0000,1178.0000,0.0000,0.0000,1.0000,931.0000,144.0000,0.2971,0.2904,0.0000,0.0000
09:39:37,ESTRES_2026-07-05,B05_digital_E_a_A,real,4,-0.3235,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,931.0000,141.0000,0.2972,0.2886,0.0000,0.0000
09:45:23,ESTRES_2026-07-05,B06_digital_bidir,real,4,-0.1455,0.0000,0.0000,1.0000,0.0000,0.0000,0.0404,1.0000,996.0000,274.0000,0.3616,0.3291,0.0000,0.0000
09:51:08,ESTRES_2026-07-05,B06c_null_bidir,null,4,0.3976,0.0000,0.0000,1.0000,0.0000,0.0000,0.0747,1.0000,997.0000,0.0000,0.4432,0.2895,0.0000,0.0000
09:56:54,ESTRES_2026-07-05,B07_audio_canales,real,4,-0.2904,0.0000,0.0000,1.0000,0.0000,0.0000,0.0233,1.0016,997.0000,0.0000,0.2977,0.3748,0.0000,0.0000
10:02:40,ESTRES_2026-07-05,B09_sociedad_ABCD,real,4,0.3704,0.0000,0.0000,1.0000,0.0000,0.0000,0.0074,1.0004,997.0000,0.0000,0.2978,0.2973,0.0000,0.0000
10:08:25,ESTRES_2026-07-05,B10_todos_con_todos,real,4,0.3501,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,274.0000,0.2980,0.2904,0.0000,0.0000
10:14:11,ESTRES_2026-07-05,B00_basal,real,5,-0.3616,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1062.0000,0.0000,0.4930,0.2906,0.0000,0.0000
10:19:56,ESTRES_2026-07-05,B04_digital_A_a_E,real,5,-0.0166,0.0000,0.0000,1.0000,1566.0000,0.0000,0.0000,1.0000,0.0000,143.0000,0.3448,0.2907,0.0000,0.0000
10:25:42,ESTRES_2026-07-05,B04c_shuffled_A_a_E,shuffled,5,-0.3146,0.0000,0.0000,1.0000,1566.0000,0.0000,0.0000,1.0000,1193.0000,144.0000,0.2984,0.3752,0.0000,0.0000
10:31:28,ESTRES_2026-07-05,B05_digital_E_a_A,real,5,-0.1592,0.0000,0.0000,1.0000,0.0000,0.0000,0.0021,1.0002,1194.0000,140.0000,0.3745,0.4257,0.0000,0.0000
