wall_s,org,t,vivo,met_alimento_modo,met_energia,met_hambre,met_ingesta,met_gasto,met_balance,met_IM,met_nutricion,RC_total,ICR,IRDE,ICR_ratio,IRDE_ratio,OI,necesidad,energia_L,energia_R
0.0,A,0.6,,conversion,0.9493,0.0507,0.04705,0.03459,0.01246,-0.2861,0.1568,0.0378,0.00899,0.02882,0.2377,0.7623,0.3666,0.258,1.56293,1.81492
0.0,B,1.0,,conversion,0.8619,0.1381,0.02179,0.02837,-0.00658,-0.3889,0.0726,0.0253,0.00314,0.02217,0.12392,0.87608,0.3052,0.1857,0.26492,1.41477
0.0,C,0.9,,conversion,0.8664,0.1336,0.01231,0.04157,-0.02926,-0.3624,0.041,0.03191,0.0014,0.03051,0.04382,0.95618,0.2697,0.0774,2.40275,0.0
0.0,D,0.9,,conversion,0.9494,0.0506,0.02606,0.03244,-0.00638,-0.3461,0.0869,0.02344,0.00265,0.0208,0.11299,0.88701,0.3006,0.1727,0.00637,2.01293
5.1,A,0.9,,conversion,0.8872,0.1128,0.02971,0.03923,-0.00953,-0.4398,0.099,0.03845,0.00431,0.03414,0.11211,0.88789,0.3,0.1719,1.71129,0.48304
5.1,B,1.2,,conversion,0.8252,0.1748,0.00608,0.02655,-0.02047,-0.4815,0.0203,0.0218,0.0011,0.0207,0.0504,0.9496,0.2724,0.0888,0.00334,2.14952
5.1,C,1.1,,conversion,0.7987,0.2013,0.00746,0.03887,-0.03141,-0.4736,0.0249,0.0325,0.001,0.0315,0.03078,0.96922,0.2637,0.0561,2.32403,0.0
5.1,D,1.2,,conversion,0.896,0.104,0.0,0.03484,-0.03484,-0.4871,0.0,0.16004,0.0,0.16004,0.0,1.0,0.25,0.0,0.0001,1.31961
10.4,A,1.2,,conversion,0.8811,0.1189,0.02516,0.03853,-0.01338,-0.5085,0.0839,0.04637,0.00611,0.04026,0.13184,0.86816,0.3088,0.1951,2.70052,1.96194
10.4,B,1.5,,conversion,0.8711,0.1289,0.10786,0.011,0.09686,-0.4164,0.3595,0.016,0.016,0.0,1.0,0.0,0.25,1.0,0.00055,4.19297
10.4,C,1.4,,conversion,0.7085,0.2915,0.00483,0.03108,-0.02625,-0.6045,0.0161,0.01704,0.00052,0.01652,0.0305,0.9695,0.2635,0.056,2.22732,0.0
10.4,D,1.5,,conversion,1.0,0.0,0.04136,0.02227,0.01908,-0.3314,0.1379,0.01113,0.00369,0.00743,0.33187,0.66813,0.2566,0.6305,0.0,1.87109
15.5,A,1.5,,conversion,0.8178,0.1822,0.01165,0.03456,-0.02291,-0.5892,0.0388,0.02532,0.00215,0.02317,0.08494,0.91506,0.2876,0.1406,1.75915,2.24113
15.5,B,1.8,,conversion,0.9114,0.0886,0.07779,0.011,0.06679,-0.3349,0.2593,0.01734,0.01734,0.0,1.0,0.0,0.25,1.0,1e-05,4.64918
15.5,C,1.7,,conversion,0.6361,0.3639,0.00279,0.02535,-0.02255,-0.6985,0.0093,0.01994,0.00053,0.01941,0.02655,0.97345,0.2617,0.0494,2.71989,0.0
15.5,D,1.7,,conversion,1.0,0.0,0.09751,0.011,0.08651,-0.2079,0.325,0.02231,0.02231,0.0,1.0,0.0,0.25,1.0,0.0,4.66583
20.6,A,1.7,,conversion,0.7712,0.2288,0.00748,0.0319,-0.02442,-0.638,0.0249,0.03392,0.00229,0.03163,0.06749,0.93251,0.2797,0.1162,1.92011,3.49034
20.6,B,2.0,,conversion,0.9645,0.0355,0.00095,0.02302,-0.02206,-0.2788,0.0032,0.02011,0.00024,0.01987,0.0121,0.9879,0.2542,0.0234,0.84588,3.71376
20.6,C,2.0,,conversion,0.5725,0.4275,0.00104,0.02095,-0.01992,-0.7719,0.0035,0.01225,0.00018,0.01207,0.01472,0.98528,0.2565,0.028,1.38261,0.0
20.6,D,2.0,,conversion,1.0,0.0,0.02061,0.01695,0.00366,-0.229,0.0687,0.01146,0.00346,0.008,0.30228,0.69772,0.2805,0.5211,0.0,1.44581
25.7,A,2.0,,conversion,0.698,0.302,0.00439,0.02831,-0.02393,-0.7065,0.0146,0.05158,0.00277,0.0488,0.05378,0.94622,0.2734,0.0954,2.90063,5.96299
25.7,B,2.2,,conversion,0.9542,0.0458,0.0,0.02759,-0.02759,-0.3433,0.0,0.06486,0.0,0.06486,0.0,1.0,0.25,0.0,10.80645,2.37589
25.7,C,2.1,,conversion,0.5502,0.4498,0.0,0.02222,-0.02222,-0.7948,0.0,0.07297,0.0,0.07297,0.0,1.0,0.25,0.0,4.34425,20.14902
25.7,D,2.1,,conversion,1.0,0.0,0.06751,0.011,0.05651,-0.1061,0.225,0.18107,0.18107,0.0,1.0,0.0,0.25,1.0,21.13315,3.20698
30.8,A,2.2,,conversion,0.6516,0.3484,0.00296,0.02523,-0.02227,-0.7472,0.0099,0.02429,0.00105,0.02324,0.04309,0.95691,0.2686,0.0783,1.88294,1.9854
