VIEJO	NUEVO	NOTA	FLAG	DESC_CABECERA
Crear_Audios.py		EXCLUIDO (utilidad)		
Procesar_Biaurales.py		EXCLUIDO (utilidad)		
V100.py	v100_curva_de_dosis_respuesta_con_multiples_estimulos.py	pelado->cabecera		Curva de dosis-respuesta con múltiples estímulos
V101.py	v101_entrenamiento_multi_estimulo_evaluacion_solo_bigbang.py	pelado->cabecera		Entrenamiento multi-estimulo, evaluacion SOLO BigBang
V102.py	v102_naturaleza_de_omega_categorizacion_y_transferencia.py	pelado->cabecera		Naturaleza de Omega, categorizacion y transferencia
V103.py	v103_clasificacion_de_multiples_estimulos.py	pelado->cabecera		Clasificacion de multiples estimulos
V104.py	v104_distinguiendo_entre_lectura_fisica_y_cosmosemiotica.py	pelado->cabecera		Distinguiendo entre lectura fisica y cosmosemiotica
V105.py	v105_forzando_lf_1_con_tonos_puros_monofonicos.py	pelado->cabecera		Forzando LF ≥ 1 con tonos puros monofónicos
V105b.py	v105b_prueba_de_tonos_binaurales_sinteticos.py	pelado->cabecera		Prueba de tonos binaurales sintéticos
V105c.py	v105c_caso_critico_tono_puro_original_de_v104_tonos_largos.py	pelado->cabecera		Caso crítico: tono_puro original de V104 + tonos largos
V105d.py	v105d_prueba_de_tonos_largos_30s_por_frecuencia.py	pelado->cabecera		Prueba de tonos largos (30s) por frecuencia
V105e.py	v105e_barrido_fino_alrededor_de_440_hz.py	pelado->cabecera		Barrido fino alrededor de 440 Hz
V106.py	v106_dos_agentes_acoplados_corregido.py	pelado->cabecera		Dos agentes acoplados (CORREGIDO)
V107.py	v107_clausura_semiotica_corregido.py	pelado->cabecera		Clausura Semiótica (CORREGIDO)
V108.py	v108_blue_monday_estimulo_largo_y_complejo.py	pelado->cabecera		Blue Monday: Estímulo largo y complejo
V109.py	v109_protocolo_canonico_corregido.py	pelado->cabecera		Protocolo Canónico (CORREGIDO)
V110.py	v110_protocolo_de_diferencia_con_blue_monday.py	pelado->cabecera		Protocolo de Diferencia con Blue Monday
V111.py	v111_fisiologia_corregida_auditoria_completa.py	pelado->cabecera		Fisiología corregida + Auditoría completa
V112.py	v112_sin_parametros_externos_version_meta.py	pelado->cabecera		Sin parámetros externos (versión Meta)
V113.py	v113_experimento_completo_sin_parametros.py	pelado->cabecera		Experimento completo sin parámetros
V114.py	v114_alma_racional_estable.py	pelado->cabecera		Alma Racional estable
V115.py	v115_blue_monday_expandido_dietas_espectrales.py	pelado->cabecera		Blue Monday expandido, dietas espectrales
V116.py	v116_el_experimento_final.py	pelado->cabecera		El experimento final
V117.py	v117_tiempos_completos_sin_apresurar.py	pelado->cabecera		Tiempos completos, sin apresurar
V118.py	v118_memoria_larga_y_atencion_para_lateralidad.py	pelado->cabecera		Memoria larga y atención para lateralidad
V119.py	v119_plasticidad_dual.py	pelado->cabecera		Plasticidad dual
V120.py	v120_consolidacion_doble_canal_parcialmente_acoplado.py	pelado->cabecera		Consolidación: Doble canal parcialmente acoplado
V121.py	v121_arquitectura_bihemisferica_con_cuerpo_calloso_selectivo.py	pelado->cabecera		Arquitectura Bihemisférica con Cuerpo Calloso Selectivo
V122.py		CONGELADO (dependencia)		
V122b.py	v122b_segregacion_fisica_organos_minimos.py	pelado->cabecera		Segregación Física + Órganos Mínimos
V123.py	v123_anima_1_controlador_p_zona_muerta.py	pelado->cabecera		ANIMA-1: Controlador P + Zona Muerta
V124.py	v124_anima_1_controlador_p_zona_muerta_audio_restaurado_en.py	pelado->cabecera		ANIMA-1: Controlador P + Zona Muerta + Audio Restaurado en F
V125.py	v125_dos_sistemas_acoplados_con_orientacion_de_cabeza.py	pelado->cabecera		Dos sistemas acoplados con orientación de cabeza
V126.py	v126_organismo_con_interfaz_motor_lateralidad_regulada.py	pelado->cabecera		Organismo con interfaz motor-lateralidad regulada
V127.py	v127_correccion_de_signo_del_gradiente_binaural.py	pelado->cabecera		Corrección de signo del gradiente binaural
V127b.py	v127b_correccion_de_gradiente_usar_diferencia_inter_sistemas.py	pelado->cabecera		Correccion de gradiente: usar diferencia inter-sistemas
V128.py	v128_validacion_robusta_parkinson_computacional.py	pelado->cabecera		Validación Robusta + Parkinson Computacional
V129.py	v129_supervivencia_no_perfeccion.py	pelado->cabecera		Supervivencia, no perfeccion
V130.py	v130_organismo_plastico_aprende_a_vivir_con_su_fragilidad.py	pelado->cabecera		Organismo Plástico: Aprende a vivir con su fragilidad
V131.py	v131_homeostasis_plasticidad_con_suelo.py	pelado->cabecera		Homeostasis: Plasticidad con suelo
V132.py	v132_organismo_sano_en_accion.py	pelado->cabecera		Organismo sano en acción
V133.py	v133_memoria_episodica_con_decaimiento.py	pelado->cabecera		Memoria episódica con decaimiento
V134.py	v134_memoria_con_relajacion_homeostatica.py	pelado->cabecera		Memoria con relajacion homeostatica
V135.py	v135_prediccion_de_trayectoria.py	pelado->cabecera		Predicción de trayectoria
V136.py	v136_validacion_estadistica_de_prediccion.py	pelado->cabecera		Validación estadística de predicción
V137.py	v137_prediccion_con_horizonte_adaptativo_y_ema.py	pelado->cabecera		Prediccion con horizonte adaptativo y EMA
V138.py	v138_prediccion_con_aceleracion_variable.py	pelado->cabecera		Prediccion con aceleracion variable
