ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
0,0.0,0.4500508682086443,0.5499491317913556,9.88062862031841e-05,0.20254578397535455,0.30244404755806586,DESCONOCIDO,NADA,0.8624872829478389,0.9999990000010001,0.0,0.0,0.009381518871970477,5.0126256481431794e-09,0.4500508682086443,0.9999999949873744,0.95,0.6000296418858609,1.0,0.7749745658956778,0.9999999989974748,1.0
1,0.0003208324607475821,0.40510624503704346,0.5948937549629565,0.0007608200153393504,0.16411106976801312,0.35389857969392613,DESCONOCIDO,NADA,0.871255931549104,0.9999990000000799,0.0,0.0,0.012982862631140993,9.61924259349757e-09,0.40497627380358403,0.9999999903807574,0.945,0.5802282460046018,1.0,0.797511863098208,0.9999999980761515,1.0
2,0.00010378477561585208,0.36465997508777603,0.635340024912224,0.0025913536075118414,0.13297689743101743,0.40365694725546536,Y_SI,NADA,0.8788444677664786,0.99999900000008,0.0,0.0,0.013111866890798884,3.968849239314337e-09,0.36462212893408547,0.9999999960311508,0.94,0.5607774060822536,1.0,0.8176889355329573,0.9999999992062302,1.0
3,0.00011828888173783322,0.3282405795592835,0.6717594204407165,0.006110172179823606,0.10774187806941433,0.45126071895084724,Y_SI,NADA,0.8854495619129534,0.9999990000000797,0.0,0.0,0.009018541867174833,4.6749182607868315e-09,0.32820175234818644,0.9999999953250818,0.9349999999999999,0.5418330516539471,1.0,0.8358991238259068,0.9999999990650164,1.0
4,8.9337894631577e-06,0.2954558034942878,0.7045441965057122,0.011647995947130877,0.0872941318184552,0.4963825248298796,Y_SI,NADA,0.8911367090114141,0.9999990000000795,0.0,0.0,0.007569543395487909,1.99923096991799e-09,0.2954531639543437,0.999999998000769,0.9299999999999999,0.5234943987841393,1.0,0.8522734180228282,0.9999999996001538,1.0
5,0.00019516148960848926,0.265946814525031,0.734053185474969,0.019327328973333197,0.07072770815601123,0.5388340791059493,Y_SI,NADA,0.896026272012862,0.9999990000000792,0.0,0.0,0.006478928926112,1.3261115625653536e-09,0.26589491194855164,0.9999999986738884,0.9249999999999999,0.505798198692,1.0,0.8670525440257242,0.9999999997347777,1.0
6,3.626207980745067e-05,0.23939152024314214,0.7606084797568579,0.02909024222453793,0.05730829996432273,0.5785252594780385,Y_SI,NADA,0.9001542901478174,0.9999990000000788,0.0,0.0,0.006878138052550351,3.6216521939901086e-09,0.23938283940872987,0.9999999963783478,0.9199999999999999,0.4887270726673614,1.0,0.8803085802956351,0.9999999992756695,1.0
7,0.00019164519195184596,0.21548754549670732,0.7845124545032927,0.040746389586203385,0.04643488226419551,0.6154597912707809,Y_SI,NADA,0.9036384379138281,0.9999990000000785,0.0,0.0,0.006667058841831471,2.2946520554304953e-09,0.21544624834468737,0.999999997705348,0.9149999999999999,0.47222391687586096,0.982681029817859,0.8922768758276564,0.9999999995410696,1.0
8,0.0001248632060603471,0.19398721259819357,0.8060127874018064,0.054020880467083185,0.03763103865161676,0.6496566134552295,NO_SE,PRESERVAR,0.8281031320700625,0.922159841277702,0.07783915872237596,0.0,0.008689463962171576,1.0076941275263555e-09,0.19396299073289386,0.9999999989923058,0.9099999999999999,0.656206264140125,0.9525515073267142,0.903018504633553,1.0,1.0
9,0.00016458131724126542,0.1746479123793027,0.8253520876206973,0.06859809885335169,0.030501893298448584,0.6812060685398432,NO_SE,PRESERVAR,0.8202897148280028,0.8509173247149135,0.14908167528516383,0.0,0.011426868049944802,1.1107715064224008e-09,0.17461916859582985,0.9999999988892285,0.9049999999999999,0.6405794296560056,0.922819088997022,0.9126904157020851,1.0,1.0
10,4.246606512351209e-05,0.15723784196482068,0.8427621580351793,0.08415551971359637,0.02472373894575393,0.7102480550161125,NO_SE,PRESERVAR,0.8126233279570394,0.785708254113659,0.21429074588641772,0.0,0.010708256631288639,1.5467976773664028e-09,0.15723116469238393,0.9999999984532023,0.8999999999999999,0.6252466559140789,0.8934627907421646,0.9213844176538081,1.0,1.0
11,1.9560145355821193e-05,0.14157382569527177,0.8584261743047282,0.10038400107276711,0.020043148121995192,0.7368954967314516,NO_SE,PRESERVAR,0.8050576001609151,0.72600644014813,0.2739925598519461,0.0,0.01180481762193214,3.667440557437247e-09,0.1415710564906626,0.9999999963325594,0.8949999999999999,0.6101152003218302,0.8644656731064458,0.9292144717546686,1.0,1.0
12,0.00010376689168989125,0.12745941216188023,0.8725405878381198,0.11700435490306012,0.016245901748652054,0.7613270774248917,NO_SE,PRESERVAR,0.797550653235459,0.6713237109796474,0.328675289020428,0.0,0.008110719739132296,4.017787542368225e-09,0.12744618609486358,0.9999999959822125,0.8899999999999999,0.5951013064709181,0.8358009357747045,0.9362769069525683,1.0,1.0
13,9.563098603904346e-05,0.11477692737926287,0.8852230726207371,0.1337687435408274,0.01317374305862459,0.7836198883000988,NO_SE,PRESERVAR,0.7900653115311241,0.6212098529014591,0.37878914709861566,0.0,0.012440163782548136,4.411813248367538e-09,0.11476595114852306,0.9999999955881868,0.885,0.5801306230622483,0.8074570138873067,0.9426170244257385,1.0,1.0
14,0.0004195262092876654,0.10335052138241749,0.8966494786175825,0.1504700838010707,0.010681330270017537,0.8039802875051825,NO_SE,PRESERVAR,0.7825705125701606,0.5752519620564394,0.42474703794363466,0.0,0.008466848633003645,3.2454862311970438e-09,0.10330716312995401,0.9999999967545138,0.8799999999999999,0.5651410251403213,0.7794029547646567,0.948346418435023,1.0,1.0
15,0.00041609476172787255,0.09305710842609044,0.9069428915739095,0.16693760993897164,0.008659625428625157,0.8225454085764442,NO_SE,PRESERVAR,0.7750406414908457,0.5330730135119801,0.46692598648809314,0.0,0.008218138510290634,2.555944001828051e-09,0.0930183878507328,0.999999997444056,0.875,0.5500812829816916,0.7516181870521698,0.9534908060746337,1.0,1.0
16,0.0002576694277220561,0.08379237995987703,0.916207620040123,0.1830336167182806,0.007021162939340397,0.8394364030195864,NO_SE,PRESERVAR,0.7774550425077421,0.49432994776927264,0.5056690522307999,0.0,0.00722916700103346,1.4044768966466527e-09,0.08377078922528529,0.9999999985955231,0.87,0.5549100850154842,0.724084538634152,0.9581146053873574,1.0,1.0
