ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
0,0.0,0.4500000084682722,0.5499999915317277,9.900660009674544e-05,0.20250000762144507,0.3024999906849006,DESCONOCIDO,NADA,0.862499997882932,0.9999990000010001,0.0,0.0,2.7368936745351242e-06,1.883738823272624e-09,0.4500000084682722,0.9999999981162612,0.95,0.600029701980029,1.0,0.7749999957658639,0.9999999996232523,1.0
1,2.655157536438247e-06,0.405000015559907,0.594999984440093,0.0007624518485411198,0.1640250126035249,0.354024981483711,DESCONOCIDO,NADA,0.8712502649447341,0.9999990000000799,0.0,0.0,2.570972830740039e-06,1.6050418743446433e-09,0.4049989402210635,0.9999999983949581,0.945,0.5802287355545623,1.0,0.7975005298894683,0.9999999996789917,1.0
2,5.038885278736794e-07,0.36450002360661005,0.63549997639339,0.002597093595522141,0.13286026720921928,0.4038602199959992,Y_SI,NADA,0.8788750400151926,0.99999900000008,0.0,0.0,3.1111896012853716e-06,2.554637803340512e-09,0.36449983993922974,0.9999999974453622,0.94,0.5607791280786566,1.0,0.8177500800303852,0.9999999994890725,1.0
3,2.198621771771964e-06,0.328050032232656,0.671949967767344,0.00612338039070765,0.10761682364784665,0.4515167591825346,Y_SI,NADA,0.8854876722563217,0.9999990000000797,0.0,0.0,3.5534971299302057e-06,3.970303479389442e-09,0.3280493109747129,0.9999999960296965,0.9349999999999999,0.5418370141172124,1.0,0.8359753445126435,0.9999999992059393,1.0
4,1.90621650619881e-06,0.29524503837338345,0.7047549616266165,0.01167202716667709,0.08716963268410066,0.49667955593733376,Y_SI,NADA,0.8911888811068955,0.9999990000000795,0.0,0.0,3.033161907634801e-06,1.9629390388544187e-09,0.29524447557241795,0.999999998037061,0.9299999999999999,0.5235016081500031,1.0,0.852377762213791,0.9999999996074121,1.0
5,4.553064778140453e-06,0.26572054267159223,0.7342794573284077,0.019365123668726628,0.07060740679768548,0.5391663214545009,Y_SI,NADA,0.8960701667928128,0.9999990000000794,0.0,0.0,2.6446262891646234e-06,2.022099125518015e-09,0.2657193328287486,0.9999999979779008,0.9249999999999999,0.505809537100618,1.0,0.8671403335856257,0.9999999995955802,1.0
6,7.107396244634873e-06,0.23914849529163357,0.7608515047083664,0.0291443425702443,0.057192002800252495,0.5788950122169852,Y_SI,NADA,0.9002133011078709,0.9999990000000789,0.0,0.0,2.226455551494239e-06,2.4434912572494053e-09,0.23914679556851623,0.9999999975565087,0.9199999999999999,0.48874330277107336,1.0,0.8804266022157419,0.9999999995113017,1.0
7,6.479007877100411e-08,0.21523365351051643,0.7847663464894836,0.040818459346578795,0.04632552560348503,0.6158582185824523,Y_SI,NADA,0.9036915901086222,0.9999990000000784,0.0,0.0,2.504605196438241e-06,5.710677105894367e-09,0.21523363956551106,0.9999999942893228,0.9149999999999999,0.4722455378039736,0.982621263500692,0.8923831802172445,0.9999999988578646,1.0
8,5.790983475743091e-08,0.19371029685561283,0.8062897031443872,0.054112889611252435,0.03752367910788964,0.6501030853966641,NO_SE,PRESERVAR,0.8281169334416878,0.9221635216428957,0.07783547835718213,0.0,2.810965319683494e-06,4.80876568998339e-09,0.19371028563788156,0.9999999951912343,0.9099999999999999,0.6562338668833756,0.9524845340648027,0.9031448571810592,1.0,1.0
9,1.9349035772833482e-06,0.17433927435709493,0.825660725642905,0.06871235462723399,0.03039418258335842,0.6817156338691686,NO_SE,PRESERVAR,0.8203068531940851,0.8509249352531074,0.14907406474696988,0.0,2.326655974198498e-06,1.8670416282375554e-09,0.17433893702740932,0.9999999981329584,0.9049999999999999,0.6406137063881703,0.9227426537060477,0.9128305314862953,1.0,1.0
10,2.860627779751608e-07,0.15690535297189728,0.8430946470281027,0.08429341722772171,0.024619289791235684,0.7108085838474411,NO_SE,PRESERVAR,0.8126440125841583,0.7857199750483161,0.21427902495176054,0.0,1.958290048587831e-06,2.789082686846862e-09,0.1569053080871161,0.9999999972109174,0.8999999999999999,0.6252880251683165,0.8933787106099801,0.9215473459564419,1.0,1.0
11,3.3634660090489516e-06,0.14121482641578217,0.8587851735842178,0.1005468659598624,0.019941627199639496,0.7375119743680751,NO_SE,PRESERVAR,0.8050820298939794,0.7260223891231061,0.27397661087696995,0.0,2.8365508705475983e-06,5.550260194110345e-09,0.14121435144451355,0.9999999944497399,0.8949999999999999,0.6101640597879587,0.8643732002371195,0.9293928242777432,1.0,1.0
12,5.444761646505012e-06,0.1270933544508444,0.8729066455491556,0.11719145973837586,0.016152720745567964,0.7619660118438792,NO_SE,PRESERVAR,0.7975787189607564,0.671343892376093,0.3286551076239823,0.0,3.479441438212104e-06,1.37592054669776e-09,0.12709266245782255,0.9999999986240794,0.8899999999999999,0.5951574379215128,0.8357050973290698,0.9364536687710887,1.0,1.0
13,1.0271760698923174e-05,0.11438402673484746,0.8856159732651525,0.13398103110210413,0.013083705572078302,0.7843156521023833,NO_SE,PRESERVAR,0.7900971546653156,0.6212342284935541,0.3787647715065206,0.0,2.4987593666983883e-06,2.1797380983869692e-09,0.11438285180949706,0.9999999978202619,0.885,0.5801943093306312,0.8073526507678128,0.9428085740952514,1.0,1.0
14,1.222264003175727e-05,0.10294563095101417,0.8970543690489858,0.15070687466898622,0.010597802931902406,0.804706541029874,NO_SE,PRESERVAR,0.7826060312003479,0.5752804184200915,0.42471858157998243,0.0,2.2063875636295425e-06,6.4006253251234424e-09,0.1029443726836242,0.9999999935993746,0.8799999999999999,0.5652120624006958,0.7792940146851125,0.948527813658188,1.0,1.0
15,1.5330616712866468e-05,0.09265107622329981,0.9073489237767002,0.16719703616042458,0.008584221925335712,0.8232820694787361,NO_SE,PRESERVAR,0.7750795554240637,0.5331053531002036,0.4668936468998698,0.0,2.7116356227183897e-06,2.382763808188915e-09,0.09264965582516219,0.9999999976172362,0.875,0.5501591108481274,0.7515076880293932,0.9536751720874189,1.0,1.0
16,3.5679861467790177e-07,0.08338597357482871,0.9166140264251713,0.1833137388714526,0.00695322058902203,0.8401812734393647,NO_SE,PRESERVAR,0.7774970608307179,0.4943659103474108,0.505633089652662,0.0,1.6114508159081607e-06,4.309784290234767e-09,0.08338594382282886,0.9999999956902157,0.87,0.5549941216614358,0.7239728061827355,0.9583070280885856,1.0,1.0
17,4.9535353767862385e-06,0.0750473810472204,0.9249526189527796,0.19894983231341826,0.005632109402046698,0.8555373473076059,NO_SE,PRESERVAR,0.7798424748470127,0.45875076506886486,0.5412482349312073,0.0,1.558791724111553e-06,1.0910860365925942e-08,0.07504700929736345,0.9999999890891397,0.865,0.5596849496940255,0.7216693908117999,0.9624764953513183,1.0,1.0
18,3.699162008453306e-06,0.06754264871379385,0.9324573512862061,0.21402486604162932,0.004562009395274962,0.8694767119676872,NO_SE,PRESERVAR,0.7821037299062443,0.42597803627349434,0.5740209637265773,0.0,1.8679770061858574e-06,4.05775239137314e-09,0.06754239886259378,0.9999999959422476,0.86,0.5642074598124888,0.7195784905673078,0.9662288005687031,1.0,1.0
19,1.096655280525608e-06,0.06078839159255005,0.93921160840745,0.2284811691151108,0.003695228552409207,0.8821184453673092,NO_SE,PRESERVAR,0.7842721753672666,0.39579288371521176,0.6042061162848592,0.0,2.5063179919030165e-06,1.9305737905721542e-09,0.06078832492863941,0.9999999980694262,0.855,0.5685443507345332,0.7176822319400307,0.9696058375356803,1.0,1.0
20,1.846362320070205e-06,0.054709564328767425,0.9452904356712326,0.242280160349857,0.0029931364290435394,0.8935740077715087,NO_SE,PRESERVAR,0.7863420240524785,0.36796513768005973,0.6320338623200106,0.0,3.841333996460299e-06,3.5311553389246747e-09,0.0547094633150893,0.9999999964688446,0.85,0.5726840481049571,0.7159638965390227,0.9726452683424553,1.0,1.0
21,4.767666527722985e-07,0.04923862022830127,0.9507613797716987,0.25539900792064746,0.0024244417219868794,0.9039472012653843,NO_SE,PRESERVAR,0.788309851188097,0.34228702002397643,0.6577119799760933,0.0,3.9839598388711095e-06,3.3378897864627826e-09,0.04923859675296911,0.9999999966621103,0.845,0.5766197023761942,0.7144079176405641,0.9753807016235154,1.0,1.0
22,2.851161964437638e-06,0.044314767060512066,0.9556852329394879,0.26782768425128234,0.0019637985796274455,0.9133342644586033,NO_SE,PRESERVAR,0.7901741526376924,0.31857099394613514,0.6814280060539342,0.0,2.854285618979639e-06,1.4387165818860035e-09,0.04431464071193376,0.9999999985612834,0.84,0.5803483052753847,0.7129998593960436,0.9778426796440332,1.0,1.0
23,5.190589095362329e-06,0.03988329844377751,0.9601167015562225,0.279566420100542,0.001590677494755424,0.9218240806072004,NO_SE,PRESERVAR,0.7919349630150814,0.29664776410892996,0.703351235891139,0.0,2.5970035982683786e-06,3.2856971693992422e-09,0.039883091425963524,0.9999999967143028,0.835,0.5838699260301626,0.7117263857732168,0.9800584542870182,1.0,1.0
24,1.09865481633253e-05,0.035894973891509356,0.9641050261084907,0.2906235387563684,0.0012884491506721365,0.9294985013676536,NO_SE,PRESERVAR,0.7935935308134553,0.2763644370025433,0.723634562997525,0.0,1.7135197696681862e-06,4.336817393062891e-09,0.035894579529649875,0.9999999956631827,0.83,0.5871870616269106,0.7105752219759206,0.982052710235175,1.0,1.0
25,1.5872054924654671e-07,0.032305483194405814,0.9676945168055942,0.30101363335165954,0.0010436442444240377,0.9364326778556123,NO_SE,PRESERVAR,0.7951520450027489,0.2575828430695868,0.7424161569304814,0.0,2.1665361674493086e-06,3.2651874504180227e-09,0.03230547806686178,0.9999999967348125,0.825,0.5903040900054979,0.7095350961992861,0.9838472609665692,1.0,1.0
26,2.865009336423342e-06,0.029074939968745685,0.9709250600312543,0.3107560507005992,0.0008453521341861646,0.9426954721966948,NO_SE,PRESERVAR,0.7966134076050899,0.2401780164768556,0.7598209835232119,0.0,1.652787031424234e-06,2.0362398221500968e-09,0.02907485666877122,0.9999999979637602,0.82,0.5932268152101797,0.7085956778469399,0.9854625716656144,1.0,1.0
