estimulo,omega
BigBang_pos,0.760851870985641
BigBang_neg,0.6506745701837984
Voz_Estudio_pos,0.8511672203390261
Voz_Estudio_neg,0.5236227416923027
voz_pos,0.8516630096352611
voz_neg,0.5236086143235035
musica_pos,0.9612428782401263
Tono puro_pos,0.00035943268289192435
Tono puro_neg,0.9999999983769171
tono_pos,1.8043295715653134e-06
Ruido blanco_pos,0.9988735201199315
Ruido blanco_neg,0.05422909197415387
ruido_pos,-0.0002082990718099852
Ritmos aleatorios_pos,0.49004287200332824
Ritmos aleatorios_neg,0.503064180045218
Ondas mixtas_pos,0.615391754350278
Ondas mixtas_neg,0.7816349824231367
Pulso logaritmico_pos,0.7067403726607278
Pulso logaritmico_neg,0.7075378496178054
Viento_pos,0.8215003532991748
Viento_neg,0.5696032965387283
Voz+Viento_1_pos,0.8373250962126224
Voz+Viento_1_neg,0.5519504268595571
Voz+Viento_2_pos,0.7904328743219865
Voz+Viento_2_neg,0.6140031595805567
voz_viento_pos,0.8374082507912727
Brandemburgo_pos,0.9618581163422766
Brandemburgo_neg,0.24308704987440258
