condicion,alpha,transicion,tiempo_umbral_s,g_antes,g_despues,acoplamiento_min,acoplamiento_medio
Alpha = 0.05 (referencia v71),0.05,Voz_Estudio.wav→Ruido blanco,0.000,0.3070474258454312,0.06363965082894263,0.05174203666818604,0.09055458820225845
Alpha = 0.05 (referencia v71),0.05,Ruido blanco→Voz_Estudio.wav,0.000,0.30654225518813866,0.26001551743501305,0.027666325324508332,0.0904508859228926
Alpha = 0.05 (referencia v71),0.05,Tono puro→Ruido blanco,0.000,0.30704471744459566,0.06361903488664415,0.029146819510299928,0.08961576104391196
Alpha = 0.05 (referencia v71),0.05,Ruido blanco→Tono puro,0.000,0.30654225518813866,0.30358760895368186,0.027666325324508332,0.08956438745725664
Alpha = 0.001 (sesgo mínimo),0.001,Voz_Estudio.wav→Ruido blanco,0.000,0.01616524633010352,0.016378328082580426,0.21306540095523413,0.24130441174022516
Alpha = 0.001 (sesgo mínimo),0.001,Ruido blanco→Voz_Estudio.wav,0.000,0.01611596381249404,0.016344022277273936,0.21847492466199508,0.2412978843736555
Alpha = 0.001 (sesgo mínimo),0.001,Tono puro→Ruido blanco,0.000,0.016159295579806845,0.016362949238806435,0.20712974670359802,0.24125163830469773
Alpha = 0.001 (sesgo mínimo),0.001,Ruido blanco→Tono puro,0.050,0.01611596381249404,0.017921499183184128,0.21847492466199508,0.24124491553016683
Alpha = 0.000 (sin sesgo),0.0,Voz_Estudio.wav→Ruido blanco,0.000,0.0033946788164425897,0.0032884449451059962,0.2493965771038444,0.24999928944985658
Alpha = 0.000 (sin sesgo),0.0,Ruido blanco→Voz_Estudio.wav,0.000,0.0033946788164425897,0.0032884449451059962,0.2493965771038444,0.24999928944985658
Alpha = 0.000 (sin sesgo),0.0,Tono puro→Ruido blanco,0.000,0.0033946788164425897,0.0032884449451059962,0.2493965771038444,0.24999928944985658
Alpha = 0.000 (sin sesgo),0.0,Ruido blanco→Tono puro,0.000,0.0033946788164425897,0.0032884449451059962,0.2493965771038444,0.24999928944985658
