fase,estimulo,t,ged,lf_activa,ciclo_cerrado,w_norma,w_exp_norma,phi_gen_vs_hist,phi_gen_vs_aud
Fase 2,Voz_Estudio.wav,0.0,0.026137254015662262,False,0,0.04243943416515732,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.01,0.026126068688118512,False,0,0.042450794840484106,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.02,0.02611492564765646,False,0,0.042462429268717905,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.03,0.026103824557023626,False,0,0.04247478572158318,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.04,0.02609276507609361,False,0,0.042490081044573996,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.05,0.02608174686190611,False,0,0.042514295320117905,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.06,0.026070769568707325,False,0,0.042544520635210796,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.07,0.026059832847989895,False,0,0.04258121753820132,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.08,0.026048936348532895,False,0,0.04262046401268452,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.09,0.026038079716442578,False,0,0.04266176990167153,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.1,0.026027262595192672,False,0,0.04270451732635275,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.11,0.026016484625665134,False,0,0.042749407772671444,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.12,0.026005745446191057,False,0,0.04279603044858954,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.13,0.02599504469259141,False,0,0.04284430289006688,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.14,0.025984381998218006,False,0,0.04289443605089294,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.15,0.025973756993994554,False,0,0.04294669781346784,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.16,0.0259631693084579,False,0,0.04300051923266146,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.17,0.025952618567799162,False,0,0.04305556338403228,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.18,0.025942104395905,False,0,0.04311212488758195,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.19,0.025931626414398945,False,0,0.04317001326396243,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.2,0.025921184242682905,False,0,0.04322972590799593,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.21,0.025910777497978352,False,0,0.043291574011517654,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.22,0.025900405795368314,False,0,0.043355182314017755,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.23,0.025890068747838998,False,0,0.04342041182158123,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.24,0.02587976596632156,False,0,0.043487318357813026,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.25,0.025869497059733827,False,0,0.04355595807961447,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.26,0.025859261635022154,False,0,0.04362619042031706,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.27,0.025849059297203384,False,0,0.04369792374617058,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.28,0.025838889649406713,False,0,0.04377140762142041,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.29,0.02582875229291556,False,0,0.04384699403016013,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.3,0.02581864682720739,False,0,0.04392464778269811,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.31,0.02580857284999784,False,0,0.04400369431481076,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.32,0.025798529957282774,False,0,0.044084182618586126,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.33,0.02578851774338039,False,0,0.04416601535242076,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.34,0.025778535800973317,False,0,0.044249240659817474,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.35000000000000003,0.02576858372115071,False,0,0.04433395620625705,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.36,0.025758661093450496,False,0,0.04442001563128438,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.37,0.02574876750590143,False,0,0.04450751680321116,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.38,0.02573890254506531,False,0,0.04459636117957504,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.39,0.025729065796079097,False,0,0.04468659719054772,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.4,0.02571925684269709,False,0,0.04477817476661699,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.41000000000000003,0.02570947526733304,False,0,0.0448710926047708,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.42,0.02569972065110236,False,0,0.044965398749236545,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.43,0.025689992573864184,False,0,0.04506119079617614,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.44,0.025680290614263517,False,0,0.045158518548525414,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.45,0.025670614349773437,False,0,0.045257334776930946,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.46,0.025660963356738144,False,0,0.045358132100970824,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.47000000000000003,0.025651337210414082,False,0,0.045460329005854415,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.48,0.025641735485011873,False,0,0.04556392497474541,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.49,0.025632157753738248,False,0,0.0456688702506633,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.5,0.025622603588838024,False,0,0.04577516331339962,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.51,0.025613072561636026,False,0,0.045882852046741314,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.52,0.025603564242578935,False,0,0.04599193500366016,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.53,0.02559407820127717,False,0,0.04610241145125873,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.54,0.025584614006546567,False,0,0.04621428057450566,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.55,0.025575171226450148,False,0,0.046327491921759514,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.56,0.025565749428339696,False,0,0.04644209269989689,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.5700000000000001,0.025556348178897487,False,0,0.046558032954048784,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.58,0.02554696704417774,False,0,0.046675458208960866,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.59,0.02553760558964814,False,0,0.046794221197344985,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.6,0.025528263380231165,False,0,0.046914516737149276,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.61,0.025518939980345472,False,0,0.04703629586972882,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.62,0.025509634953946696,False,0,0.04716000017243779,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.63,0.025500347864569114,False,0,0.047285291110758965,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.64,0.025491078275366615,False,0,0.04741207116125594,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.65,0.025481825749155303,False,0,0.047540732383662174,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.66,0.025472589848452767,False,0,0.04767088580537451,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.67,0.02546337013551898,False,0,0.04780238327645109,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.68,0.025454166172396993,False,0,0.0479353211130554,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.6900000000000001,0.02544497752095355,False,0,0.048069697888225224,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.7000000000000001,0.025435803742919573,False,0,0.048205414190733625,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.71,0.025426644399930583,False,0,0.04834246792484831,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.72,0.025417499053566984,False,0,0.048480905840339344,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.73,0.025408367265394333,False,0,0.048620726185076894,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.74,0.02539924859700338,False,0,0.048761878165628575,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.75,0.02539014261004995,False,0,0.04890440884218883,0.0,0.15715156527266066,0.631462277993789
Fase 2,Voz_Estudio.wav,0.76,0.025381048866294754,False,0,0.049048267310786445,0.0,0.15715156527266066,0.631462277993789
