fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F2,60.0,0.0,0.001767751959279862,0.0017677544523220692,-0.7607661940839764,-0.030040490348965554,-9.514892607315843e-06,0.38072367480629876,0.4785813204829229,1.0,0.4164898540383767,1
F2,60.0,0.01,0.0017685052955940244,0.001768507806134375,-0.7504263132666228,-0.03006764989060079,-1.201175891424607e-05,0.3807971839252581,0.47792882133089026,1.0,0.41652230542162344,1
F2,60.0,0.02,0.0017692393178576024,0.0017692418458384162,-0.7210784463322822,-0.03009438690430072,-1.1953426924687972e-05,0.380797145396715,0.4782675220513572,1.0,0.4165558185977863,1
F2,60.0,0.03,0.0017699539843381831,0.0017699565296986038,-0.563208806934681,-0.030120685035340766,-6.99162262213699e-06,0.38074035753482854,0.4792728200357576,1.0,0.4165911478533398,1
F2,60.0,0.04,0.0017706492549738747,0.0017706518176489345,-0.710155919369386,-0.030146582711075343,-7.545743388143001e-06,0.3807969786859499,0.4788688983689839,1.0,0.41662917921518966,1
F2,60.0,0.05,0.0017713250913555891,0.00177132767127696,-0.7805546003971036,-0.03017206409207568,-1.3732673302283302e-05,0.38079767099043776,0.47874302329660945,1.0,0.41666939874095593,1
F2,60.0,0.06,0.0017719814566460252,0.0017719840537403662,-0.7316722125348106,-0.03019712969551286,-1.4618033110732764e-05,0.38079672348057386,0.4792247655384214,1.0,0.4167121017337545,1
F2,60.0,0.07,0.0017726183156404588,0.0017726209298323178,-0.6572518013585668,-0.030221779370412927,-2.9619179804865498e-05,0.3807970901271112,0.47982784807071743,1.0,0.4167558315267097,1
F2,60.0,0.08,0.0017732356347477543,0.0017732382659570395,-0.7102872399814391,-0.030246019022553694,-9.20807412352755e-06,0.38079787684247357,0.4798233425917508,1.0,0.41680021471957135,1
F2,60.0,0.09,0.0017738333820005942,0.0017738360301420642,-0.6396262760931221,-0.03026984527598442,-8.903337242582753e-06,0.38079789240188155,0.4804067467185244,1.0,0.4168472283134227,1
F2,60.0,0.1,0.0017744115269254731,0.0017744141919177287,-0.7047779963128081,-0.03029326605135424,-1.725445103848569e-05,0.38079807059372617,0.48034047388333917,1.0,0.41689685954985783,1
F2,60.0,0.11,0.0017749700406546206,0.001774972722410409,-0.6730210918284285,-0.030316278999844404,-1.4379027724752826e-05,0.3807969645246135,0.48073651779312865,1.0,0.4169489259054334,1
F2,60.0,0.12,0.001775508895927788,0.0017755115943531839,-0.862696881954664,-0.03033888893585529,-3.153975227211313e-05,0.38079714250272273,0.48007605453999563,1.0,0.416919554462963,1
F2,60.0,0.13,0.0017760280670174418,0.001776030782019136,-0.7450567018031062,-0.03036109501287043,-3.065821293913821e-05,0.3807971412161144,0.4808766308791977,1.0,0.4168718590328343,1
F2,60.0,0.14,0.0017765275297962463,0.0017765302612766376,-0.7132557202419454,-0.03038289895621349,-1.9079474435298896e-05,0.3807967595633533,0.4812684342299032,1.0,0.41682627371380465,1
F2,60.0,0.15,0.0017770072616089213,0.0017770100094696435,-0.7452108428275905,-0.030404303386437403,-1.6892143274301867e-05,0.3807998358366951,0.4813544425185877,1.0,0.41678264500484646,1
F2,60.0,0.16,0.0017774672414122344,0.0017774700055569312,-0.7047946483112375,-0.03042530893854406,-2.078222039312165e-05,0.38079812903925236,0.48178396980262034,1.0,0.41674151659473735,1
F2,60.0,0.17,0.0017779074496774563,0.0017779102300112598,-0.6845888243040334,-0.03044591739813768,-2.6215752140473617e-05,0.3807936648543662,0.4821150169005045,1.0,0.4167029521303853,1
F2,60.0,0.18,0.0017783278684397324,0.0017783306648618633,-0.6283903036580409,-0.030466127526125597,-3.0495420205313323e-05,0.3807949838042638,0.48261887471518267,1.0,0.4166652950511953,1
F2,60.0,0.19,0.001778728481208604,0.0017787312936096181,-0.460556162393492,-0.03048579994606837,-2.0345276195718015e-05,0.3805008376119904,0.4836630014364504,1.0,0.41663022617839474,1
F2,60.0,0.2,0.0017791092729047319,0.0017791121011789832,-0.739997565855655,-0.030505231053926718,-1.9633634643684258e-05,0.3807732925161945,0.48292311577906955,1.0,0.4165967343499961,1
F2,60.0,0.21,0.0017794702299463866,0.0017794730739845476,-0.7632535864066007,-0.030524272723183143,-1.2127640558692209e-05,0.38079668223839674,0.48269017181997076,1.0,0.4165643789215925,1
F2,60.0,0.22,0.0017798113403603376,0.0017798142000592576,-0.7222279383741388,-0.03054292602004821,-1.4221146190530291e-05,0.38079624348214913,0.4830977822961893,1.0,0.4165345832776866,1
