ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,dA_f2,dA_f13,mejor_ef,c28,c21,c29,c30
1,0.5301690371742267,-0.5301690371742267,0.0167113879589782,-0.014619688319679951,0.4117913992747196,0.4278028485909264,-0.00043051733024924044,0.0005895714966253979,2.700737032432658e-05,4.69791577955803e-06,0.7810373750029597,1,1,1,1
2,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38834220486701365,0.3671415033662575,-0.0005985099427970242,0.000578471360380004,-2.135166869280647e-05,-4.594535152305454e-05,0.8387993365072595,1,1,1,0
3,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3961026403680777,0.3491568066554436,-0.0005824891025748942,0.000570839706704914,-1.7127870451953284e-05,-4.797137511771898e-05,0.8387993365072595,1,1,1,0
4,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3990849656678908,0.35689545218099455,-0.0005810881216680999,0.0005703415171550524,-1.814391476188444e-05,-5.0871617512363436e-05,0.8387993365072595,1,1,1,0
5,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.398555762729095,0.3611815952517487,-0.0005788257288281384,0.0005682614045968479,-1.8747770452538836e-05,-5.267468641709735e-05,0.8387993365072595,1,1,1,0
6,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.39834569257865865,0.36159809189422176,-0.0005773531807253153,0.0005697425405851368,-1.9095192683083088e-05,-5.369954015515793e-05,0.8387993365072595,1,1,1,0
7,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3985852241859562,0.354241877200909,-0.0005793269489447716,0.0005667524454354317,-2.068068109220897e-05,-4.548785905081645e-05,0.8503345182349793,1,1,1,0
8,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.4000174581178885,0.35264700245129615,-0.0005762239000781861,0.0005722869473599629,-1.88946987274522e-05,-5.5962343082148395e-05,0.8503345182349793,1,1,1,0
9,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.40007702070370516,0.35373500459523993,-0.0005791465982660718,0.00056805015334485,-2.1413222569237945e-05,-5.3443371864699e-05,0.8503345182349793,1,1,1,0
10,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.39884302522211307,0.34644937176441787,-0.000578327499740528,0.0005682462541992786,-1.9468837237286706e-05,-5.206325534247811e-05,0.8503345182349793,1,1,1,0
