ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,omega_f2,omega_f13,mejor_ef,c28,c21,c29,c31
1,0.5301690371742267,-0.5301690371742267,0.016711388519930877,-0.014619688319679951,0.4117403268633933,0.42780174661839027,0.8673964843554668,0.4915009073855698,0.8061197946102048,1,1,1,1
2,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.3882032539906794,0.3669912664674515,0.8706755341513557,0.4911819313579485,0.8112816060278426,1,1,1,1
3,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3964032571489653,0.34904778699227895,0.870761759917908,0.4913169669643302,0.8112816060278426,1,1,1,1
4,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3991084839394473,0.3568350029114064,0.8707716657563098,0.4909567874594293,0.8112816060278426,1,1,1,1
5,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.39870424988326314,0.36102515928756745,0.8707913290633301,0.49085543090226774,0.8112816060278426,1,1,1,1
6,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3983611488629395,0.3616670311041753,0.8708040603385951,0.49076970363799277,0.8360065506781048,1,1,1,1
7,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39881727060001354,0.3542566552054127,0.8708171116335023,0.49097767431816636,0.8445595762130694,1,1,1,1
8,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3997964882814492,0.352509869707462,0.8707917785758941,0.49119834465860296,0.8445595762130694,1,1,1,1
9,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3997361216363139,0.3537430907990025,0.8708047964654723,0.49122504545739165,0.8445595762130694,1,1,1,1
10,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3988403345589676,0.34638016012428197,0.8708039591500172,0.4916849923390898,0.8445595762130694,1,1,1,1
