instancia,ciclo,omega_f2,omega_f13,efic_f2,efic_f13,asys_f2,asys_f13,mejor_ef,c31,c32
A,1,0.8673964754025432,0.49150351499499484,0.29735527142283524,0.5040316189749744,0.25792491437453385,0.24773331239481786,0.7707441063455698,1,1
A,2,0.8706843923916018,0.49117172654913976,0.4232182116312659,0.5086925348619247,0.36848949144322907,0.24985539063079001,0.804635238333059,1,1
A,3,0.8707612956797092,0.49129133725999147,0.29048416079773454,0.4594542402547491,0.2529423642306683,0.2257258881045291,0.8353496366824268,1,1
A,4,0.870771598650536,0.4909252485842681,0.2584195146440469,0.3990988778694104,0.2250243738890923,0.19592771582774277,0.8353496366824268,1,1
A,5,0.8707984734389175,0.49082977433239816,0.2362572436972442,0.3874679743295648,0.20573244715044656,0.19018081840121173,0.8353496366824268,1,1
B,1,0.8707161615145714,0.49150257006359077,0.2805840669927658,0.4869745593362555,0.2443090817940884,0.23934924746935415,0.8603398579472461,1,1
B,2,0.8706723441749927,0.4911553796419956,0.44473326006814035,0.5560954469850726,0.38721695007611445,0.2731292703811386,0.8603398579472461,1,1
B,3,0.8707503068180217,0.4912917044567497,0.28666818010424083,0.44833898163697294,0.2496164057807316,0.22026522246283184,0.8603398579472461,1,1
B,4,0.8707681796064753,0.4909036985668755,0.25306785166088097,0.4054882527198974,0.22036343250766685,0.19905568298561754,0.8603398579472461,1,1
B,5,0.8707866469599069,0.49081908673820596,0.24922214740912335,0.40189269266360317,0.21701931809053818,0.1972566043799082,0.8603398579472461,1,1
