t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup
0.0000,0.00018613,1.3998e-03,0.132975,0.423445,0.021495,0.000000,0.066683,-0.000125,1,1
0.5000,0.00021160,1.5059e-03,0.140514,0.416458,-0.016077,0.682165,0.569203,-0.000000,1,1
1.0000,0.00024050,1.6183e-03,0.148615,0.380803,-0.033595,0.739709,-0.206684,0.000000,1,1
1.5000,0.00026643,1.7182e-03,0.155061,0.380570,-0.049184,0.773889,-0.012532,0.000000,1,1
2.0000,0.00028384,1.7810e-03,0.159372,0.380801,-0.061810,0.819250,0.057744,-0.000000,1,1
2.5000,0.00028921,1.7929e-03,0.161312,0.380814,-0.065523,0.809090,-0.487705,0.000000,1,1
3.0000,0.00028164,1.7501e-03,0.160924,0.380761,-0.057610,0.821586,-0.108427,0.000000,1,1
3.5000,0.00026284,1.6705e-03,0.157347,0.379921,-0.046349,0.807915,0.257871,-0.000000,1,1
4.0000,0.00023670,1.5710e-03,0.150671,0.380070,-0.040217,0.799187,0.334716,-0.000000,1,1
4.5000,0.00020822,1.4662e-03,0.142014,0.380699,-0.035847,0.785987,-0.931137,0.000000,1,1
5.0000,0.00018237,1.3622e-03,0.133873,0.370267,-0.031386,0.784079,0.253915,-0.000000,1,1
5.5000,0.00016297,1.2810e-03,0.127219,0.345645,-0.021767,0.783626,0.220301,-0.000000,1,1
6.0000,0.00015210,1.2225e-03,0.124411,0.296285,-0.008577,0.766300,-0.782440,0.000000,1,1
6.5000,0.00014989,1.2131e-03,0.123554,0.237358,-0.004798,0.759946,0.864696,-0.000000,1,1
7.0000,0.00015486,1.2487e-03,0.124012,0.186082,0.000169,0.739819,0.684484,-0.000000,1,1
7.5000,0.00016086,1.2689e-03,0.126775,0.260698,-0.027796,0.787406,-0.376695,0.000000,1,1
8.0000,0.00017030,1.3403e-03,0.127066,0.310109,-0.041578,0.800052,0.580779,-0.000000,1,1
8.5000,0.00017894,1.4001e-03,0.127799,0.341450,-0.033387,0.775604,-0.354331,0.000000,1,1
9.0000,0.00018531,1.4272e-03,0.129840,0.350934,-0.017137,0.737347,0.013358,-0.000000,1,1
9.5000,0.00018878,1.4233e-03,0.132632,0.335331,-0.026009,0.747467,-0.509674,0.000000,1,1
10.0000,0.00018976,1.4034e-03,0.135213,0.346130,-0.043873,0.771398,-0.593971,0.000000,1,0
10.5000,0.00018980,1.3894e-03,0.136600,0.380785,-0.055605,0.776473,-0.505393,0.000000,1,0
11.0000,0.00019035,1.3885e-03,0.137094,0.380820,-0.062094,0.782132,-0.563964,0.000001,1,0
11.5000,0.00019264,1.3964e-03,0.137954,0.380807,-0.060809,0.773273,-0.534794,0.000000,1,0
12.0000,0.00019747,1.4154e-03,0.139510,0.406408,-0.045787,0.741534,-0.397608,-0.000000,1,0
12.5000,0.00020518,1.4500e-03,0.141506,0.439484,-0.016722,0.693747,0.997417,0.000000,1,0
13.0000,0.00021577,1.4721e-03,0.146570,0.427843,0.002808,0.665433,-0.015873,-0.000000,1,0
13.5000,0.00022899,1.4892e-03,0.153769,0.407523,0.006505,0.657560,-0.904106,-0.000000,1,0
14.0000,0.00024432,1.5111e-03,0.161685,0.366786,0.019896,0.634945,-0.134329,-0.000000,1,0
14.5000,0.00026111,1.5363e-03,0.169962,0.384304,0.026883,0.622299,-0.994856,-0.000000,1,0
15.0000,0.00027779,1.5678e-03,0.177181,0.398609,0.029100,0.624551,0.140269,-0.000000,1,0
15.5000,0.00029363,1.5831e-03,0.185481,0.391362,0.026968,0.628007,-0.184881,-0.000000,1,0
16.0000,0.00030654,1.5943e-03,0.192275,0.380755,0.028320,0.624720,0.966315,0.000000,1,0
16.5000,0.00031636,1.5929e-03,0.198610,0.380753,0.027518,0.629479,0.837636,0.000000,1,0
17.0000,0.00032310,1.5949e-03,0.202589,0.391839,0.024375,0.638310,0.958026,0.000000,1,0
17.5000,0.00032809,1.6071e-03,0.204154,0.423460,0.018620,0.649449,-0.871567,-0.000000,1,0
18.0000,0.00033448,1.6320e-03,0.204950,0.435104,0.011898,0.662909,-0.892469,-0.000000,1,0
18.5000,0.00034457,1.6701e-03,0.206319,0.436815,0.005086,0.675933,0.829125,0.000000,1,0
19.0000,0.00036229,1.7064e-03,0.212305,0.425376,-0.001766,0.688284,0.396927,0.000000,1,0
19.5000,0.00039083,1.7486e-03,0.223511,0.380810,-0.027725,0.731305,-0.754414,-0.000085,1,0
20.0000,0.00043145,1.7988e-03,0.239857,0.380819,-0.050435,0.765484,-0.732914,-0.000000,1,0
20.5000,0.00048176,1.8438e-03,0.261282,0.379478,-0.046579,0.757201,-0.891232,-0.000000,1,0
21.0000,0.00053670,1.8854e-03,0.284664,0.380762,-0.037960,0.740830,-0.773691,-0.000000,1,0
21.5000,0.00058943,1.9105e-03,0.308514,0.376251,-0.031387,0.728174,-0.910194,-0.000000,1,0
22.0000,0.00063347,1.9407e-03,0.326414,0.375504,-0.028839,0.724010,-0.776748,-0.000000,1,0
22.5000,0.00066500,1.9483e-03,0.341321,0.379289,-0.029861,0.724245,-0.289654,-0.000000,1,0
23.0000,0.00068381,1.9516e-03,0.350375,0.380808,-0.038715,0.738642,-0.619564,-0.000002,1,0
23.5000,0.00069321,1.9440e-03,0.356587,0.375878,-0.036979,0.735308,-0.570815,-0.000000,1,0
24.0000,0.00069901,1.9598e-03,0.356677,0.371888,-0.016911,0.700388,-0.537796,-0.000000,1,0
24.5000,0.00059608,1.7487e-03,0.340878,0.328889,0.000439,0.667442,-0.075758,-0.000000,1,0
25.0000,0.00056616,1.6325e-03,0.346801,0.281597,-0.013824,0.701898,-0.769831,-0.000000,1,0
25.5000,0.00059496,1.6543e-03,0.359651,0.248042,-0.026232,0.739663,-0.803959,-0.000000,1,0
26.0000,0.00063519,1.6852e-03,0.376925,0.275387,-0.033963,0.749863,-0.515225,-0.000001,1,0
26.5000,0.00042121,1.3027e-03,0.323340,0.331885,-0.038977,0.743343,-0.798525,-0.000001,1,0
27.0000,0.00046465,1.3488e-03,0.344503,0.363705,-0.032040,0.720255,-0.955417,-0.000000,1,0
27.5000,0.00051994,1.4390e-03,0.361323,0.378612,-0.024068,0.703210,-0.624491,-0.000003,1,0
28.0000,0.00058246,1.5166e-03,0.384061,0.359307,-0.031049,0.717900,-0.586694,-0.000001,1,0
28.5000,0.00064086,1.5844e-03,0.404490,0.379038,-0.035665,0.721844,-0.549739,-0.000001,1,0
29.0000,0.00069053,1.6665e-03,0.414349,0.381278,-0.035637,0.720398,-0.668686,-0.000000,1,0
29.5000,0.00073027,1.7394e-03,0.419832,0.380797,-0.036944,0.721183,-0.769733,-0.000000,1,0
30.0000,0.00075376,1.7822e-03,0.422930,0.423332,-0.022507,0.690517,0.189634,0.000000,1,0
30.5000,0.00075792,1.8076e-03,0.419303,0.433760,-0.005328,0.660015,-0.594985,-0.000001,1,0
31.0000,0.00075121,1.8359e-03,0.409181,0.411692,-0.012590,0.671593,-0.804576,-0.000133,1,0
31.5000,0.00073869,1.8499e-03,0.399316,0.393630,-0.018601,0.683206,-0.588942,-0.000002,1,0
