t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup
0.0000,0.00020770,1.4573e-03,0.142521,0.331013,-0.020621,0.000000,0.066683,0.000010,1,1
0.5000,0.00022388,1.5146e-03,0.147808,0.308883,0.008513,0.632348,0.569203,0.000000,1,1
1.0000,0.00024396,1.5973e-03,0.152738,0.380800,0.039439,0.598353,-0.206684,-0.000000,1,1
1.5000,0.00026242,1.6812e-03,0.156087,0.380793,0.055715,0.573812,-0.012532,-0.000000,1,1
2.0000,0.00027412,1.7351e-03,0.157982,0.380768,0.060631,0.598223,0.057744,0.000000,1,1
2.5000,0.00027544,1.7426e-03,0.158063,0.380862,0.062687,0.572113,-0.487705,-0.000000,1,1
3.0000,0.00026500,1.6983e-03,0.156039,0.380779,0.067211,0.596645,-0.108427,-0.000000,1,1
3.5000,0.00024375,1.6199e-03,0.150471,0.380779,0.068434,0.598308,0.257871,0.000000,1,1
4.0000,0.00021505,1.5243e-03,0.141076,0.380799,0.060154,0.616150,0.334716,0.000000,1,1
4.5000,0.00018380,1.4226e-03,0.129203,0.384221,0.047707,0.634124,-0.931137,-0.000000,1,1
5.0000,0.00015544,1.3191e-03,0.117837,0.379445,0.034559,0.663748,0.253915,0.000000,1,1
5.5000,0.00013459,1.2300e-03,0.109424,0.380833,0.027038,0.693771,0.220301,0.000000,1,1
6.0000,0.00012403,1.1508e-03,0.107783,0.383828,0.024467,0.703610,-0.782440,-0.000000,1,1
6.5000,0.00012424,1.1250e-03,0.110439,0.378878,0.014465,0.720733,0.864696,0.000000,1,1
7.0000,0.00013349,1.1601e-03,0.115069,0.391184,0.007961,0.726600,0.684484,0.000000,1,1
7.5000,0.00014865,1.2349e-03,0.120381,0.432975,-0.029057,0.762636,-0.376695,-0.000000,1,1
8.0000,0.00016595,1.3270e-03,0.125057,0.390993,-0.049537,0.795678,0.580779,0.000000,1,1
8.5000,0.00018170,1.4065e-03,0.129187,0.374249,-0.045881,0.790844,-0.354331,-0.000000,1,1
9.0000,0.00019276,1.4530e-03,0.132665,0.371456,-0.032274,0.762395,0.013358,0.000000,1,1
9.5000,0.00019694,1.4568e-03,0.135182,0.380739,-0.042213,0.768986,-0.509674,-0.000000,1,1
10.0000,0.00019352,1.4204e-03,0.136240,0.380743,-0.059902,0.790120,-0.593971,-0.000000,1,0
10.5000,0.00018330,1.3719e-03,0.133616,0.380794,-0.070539,0.799952,-0.505393,-0.000000,1,0
11.0000,0.00016899,1.3256e-03,0.127484,0.380773,-0.075312,0.802644,-0.563964,-0.000000,1,0
11.5000,0.00015413,1.2826e-03,0.120170,0.380680,-0.071948,0.790995,-0.534794,-0.000000,1,0
12.0000,0.00013123,1.1529e-03,0.113826,0.375896,-0.054700,0.762825,-0.397608,-0.000000,1,0
12.5000,0.00012335,1.1131e-03,0.110817,0.349014,-0.023434,0.714347,0.997417,0.000000,1,0
13.0000,0.00012031,1.0733e-03,0.112089,0.290651,-0.001854,0.675037,-0.015873,-0.000000,1,0
13.5000,0.00011181,1.0159e-03,0.110051,0.232652,0.003659,0.657739,-0.904106,-0.000000,1,0
14.0000,0.00009198,9.0035e-04,0.102165,0.225059,0.018578,0.612933,-0.134329,-0.000000,1,0
14.5000,0.00008592,8.9218e-04,0.096308,0.263450,0.026789,0.597339,-0.994856,-0.000001,1,0
15.0000,0.00010490,9.6941e-04,0.108205,0.318169,0.029927,0.608085,0.140269,-0.000000,1,0
15.5000,0.00013014,1.0282e-03,0.126568,0.328761,0.028435,0.614312,-0.184881,-0.000000,1,0
16.0000,0.00015299,1.0721e-03,0.142697,0.343165,0.030177,0.614146,0.966315,0.000000,1,0
16.5000,0.00016952,1.1290e-03,0.150147,0.370022,0.029556,0.623587,0.837636,0.000000,1,0
17.0000,0.00018306,1.2108e-03,0.151192,0.406916,0.026425,0.636211,0.958026,0.000000,1,0
17.5000,0.00019390,1.2852e-03,0.150866,0.468639,0.020556,0.649530,-0.871567,-0.000000,1,0
18.0000,0.00018701,1.2789e-03,0.146225,0.511192,0.013633,0.663415,-0.892469,-0.000000,1,0
18.5000,0.00019140,1.2706e-03,0.150638,0.542408,0.006566,0.675592,0.829125,0.000000,1,0
19.0000,0.00019743,1.2410e-03,0.159095,0.556350,-0.000566,0.686007,0.396927,0.000000,1,0
19.5000,0.00018990,1.1657e-03,0.162900,0.435529,-0.026807,0.723617,-0.754414,-0.000104,1,0
20.0000,0.00019531,1.1678e-03,0.167248,0.380800,-0.049782,0.764403,-0.732914,-0.000000,1,0
20.5000,0.00019595,1.2180e-03,0.160886,0.379998,-0.046165,0.756390,-0.891232,-0.000000,1,0
21.0000,0.00022621,1.3579e-03,0.166592,0.379894,-0.037749,0.740612,-0.773691,-0.000000,1,0
21.5000,0.00024867,1.2820e-03,0.193965,0.374741,-0.031341,0.728318,-0.910194,-0.000000,1,0
22.0000,0.00032217,1.3222e-03,0.243652,0.369688,-0.028918,0.724985,-0.776748,-0.000000,1,0
22.5000,0.00041113,1.4587e-03,0.281844,0.371827,-0.030030,0.725638,-0.289654,-0.000000,1,0
23.0000,0.00048491,1.6134e-03,0.300561,0.380710,-0.038940,0.739055,-0.619564,-0.000002,1,0
23.5000,0.00053214,1.7039e-03,0.312299,0.375020,-0.037234,0.735915,-0.570815,-0.000000,1,0
24.0000,0.00054463,1.7509e-03,0.311059,0.366867,-0.017172,0.701337,-0.537796,-0.000000,1,0
24.5000,0.00028752,1.1637e-03,0.247073,0.315111,0.000189,0.667990,-0.075758,-0.000000,1,0
25.0000,0.00031200,1.1778e-03,0.264897,0.266032,-0.014051,0.704539,-0.769831,-0.000000,1,0
25.5000,0.00032461,1.1987e-03,0.270802,0.228340,-0.026428,0.746264,-0.803959,-0.000000,1,0
26.0000,0.00024512,1.0257e-03,0.238975,0.254494,-0.034124,0.756822,-0.515225,-0.000002,1,0
26.5000,0.00018095,8.8051e-04,0.205500,0.316218,-0.039102,0.747427,-0.798525,-0.000001,1,0
27.0000,0.00012568,7.2042e-04,0.174452,0.351878,-0.032131,0.722466,-0.955417,-0.000000,1,0
27.5000,0.00013750,7.9467e-04,0.173024,0.369275,-0.024127,0.704461,-0.624491,-0.000004,1,0
28.0000,0.00007917,7.8353e-04,0.101037,0.356567,-0.031082,0.718422,-0.586694,-0.000002,1,0
28.5000,0.00016596,9.5698e-04,0.173421,0.379744,-0.035676,0.721743,-0.549739,-0.000002,1,0
29.0000,0.00025896,1.0783e-03,0.240148,0.382237,-0.035630,0.720225,-0.668686,-0.000000,1,0
29.5000,0.00033029,1.1788e-03,0.280196,0.380761,-0.036925,0.721155,-0.769733,-0.000000,1,0
30.0000,0.00036875,1.2357e-03,0.298424,0.426398,-0.022479,0.690195,0.189634,0.000000,1,0
30.5000,0.00037016,1.2784e-03,0.289551,0.446716,-0.005296,0.659695,-0.594985,-0.000001,1,0
31.0000,0.00035069,1.3026e-03,0.269227,0.431547,-0.012556,0.670494,-0.804576,-0.000146,1,0
31.5000,0.00031568,1.2843e-03,0.245812,0.419195,-0.018569,0.681047,-0.588942,-0.000002,1,0
32.0000,0.00027852,1.2486e-03,0.223058,0.406440,-0.021221,0.685466,-0.662574,-0.000000,1,0
32.5000,0.00025384,1.2114e-03,0.209536,0.390199,-0.024829,0.692270,-0.493483,-0.000003,1,0
33.0000,0.00025653,1.2179e-03,0.210633,0.384159,-0.024365,0.691451,-0.627608,-0.000002,1,0
33.5000,0.00029565,1.2965e-03,0.228042,0.370294,-0.026760,0.696614,-0.224793,-0.000000,1,0
34.0000,0.00036856,1.4348e-03,0.256878,0.358115,-0.028210,0.700210,-0.635236,-0.000002,1,0
34.5000,0.00046118,1.5744e-03,0.292935,0.358139,-0.028726,0.701076,-0.737419,-0.000000,1,0
35.0000,0.00055481,1.7042e-03,0.325557,0.381319,-0.021715,0.685503,-0.648146,-0.000000,1,0
35.5000,0.00063434,1.8021e-03,0.352010,0.386706,-0.002712,0.645999,-0.632394,-0.000000,1,0
36.0000,0.00069313,1.8527e-03,0.374116,0.391370,-0.007918,0.654601,-0.813458,-0.000041,1,0
36.5000,0.00073080,1.8718e-03,0.390424,0.398341,-0.012443,0.662176,-0.649651,-0.000003,1,0
37.0000,0.00075215,1.8804e-03,0.399992,0.405647,-0.015352,0.665375,-0.569049,-0.000002,1,0
37.5000,0.00076358,1.8774e-03,0.406730,0.418072,-0.016495,0.665994,-0.829822,-0.000051,1,0
