t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup,asim_geom,baja_geom,alta_geom
0.0000,0.00000069,4.0617e-05,NaN,0.396078,0.003904,0.000000,-0.066683,-0.000035,1,1,0.368710,0.249600,0.618310
0.5000,0.00000070,3.9937e-05,NaN,0.362461,-0.017023,0.786792,-0.569203,-0.000000,1,1,0.877765,0.013613,0.891378
1.0000,0.00000069,3.8794e-05,NaN,0.380788,-0.041297,0.804112,0.206684,0.000000,1,1,1.000002,-0.000013,0.999989
1.5000,0.00000064,3.7578e-05,NaN,0.380789,-0.052483,0.814185,0.012532,0.000000,1,1,0.999998,-0.000011,0.999987
2.0000,0.00000055,3.6376e-05,NaN,0.380699,-0.053783,0.790701,-0.057744,-0.000000,1,1,0.987360,0.003619,0.990979
2.5000,0.00000040,3.5788e-05,NaN,0.380656,-0.053545,0.806575,0.487705,0.000000,1,1,0.986856,0.003711,0.990566
3.0000,0.00000031,3.5595e-05,NaN,0.380564,-0.056902,0.786545,0.108427,0.000000,1,1,0.999025,-0.000039,0.998985
3.5000,0.00000039,3.5219e-05,NaN,0.380674,-0.057871,0.784850,-0.257871,-0.000000,1,1,0.999501,-0.000025,0.999476
4.0000,0.00000059,3.6004e-05,NaN,0.370855,-0.050036,0.773528,-0.334716,-0.000000,1,1,0.919782,0.010836,0.930618
4.5000,0.00000081,3.9673e-05,NaN,0.350430,-0.038530,0.764264,0.931137,0.000000,1,1,0.795131,0.025490,0.820622
5.0000,0.00000104,4.0704e-05,NaN,0.316633,-0.026638,0.743362,-0.253915,-0.000000,1,1,0.677482,0.026468,0.703950
5.5000,0.00000093,5.3161e-05,NaN,0.278506,-0.020533,0.722076,-0.220301,-0.000000,1,1,0.628411,0.000092,0.628503
6.0000,0.00000069,6.9489e-05,NaN,0.262417,-0.019412,0.717715,0.782440,0.000000,1,1,0.548716,0.014558,0.563274
6.5000,0.00000079,8.9960e-05,NaN,0.240929,-0.010800,0.697980,-0.864696,-0.000000,1,1,0.372394,0.068065,0.440459
7.0000,0.00000119,9.8331e-05,NaN,0.220759,-0.005556,0.690550,-0.684484,-0.000000,1,1,0.147288,0.152086,0.299374
7.5000,0.00000303,1.2729e-04,0.023800,0.285712,0.030374,0.616677,0.376695,0.000001,1,1,-0.650190,0.650124,-0.000066
8.0000,0.00000481,1.4216e-04,0.033847,0.379498,0.049961,0.601834,-0.580779,-0.000000,1,1,-0.969528,0.976873,0.007344
8.5000,0.00000802,1.7782e-04,0.045099,0.384233,0.045612,0.615043,0.354331,0.000000,1,1,-0.990185,0.997931,0.007746
9.0000,0.00001220,2.1381e-04,0.057046,0.392444,0.031501,0.652106,-0.013358,-0.000000,1,1,-0.943463,0.976742,0.033279
9.5000,0.00001617,2.4705e-04,0.065454,0.380781,0.041111,0.641472,0.509674,0.000000,1,1,-1.000078,1.000033,-0.000045
10.0000,0.00002055,2.7810e-04,0.073887,0.380775,0.058619,0.615559,0.593971,0.000000,1,0,-1.000044,1.000001,-0.000043
10.5000,0.00002518,3.0524e-04,0.082494,0.380810,0.069198,0.602793,0.505393,0.000001,1,0,-0.999983,1.000006,0.000023
11.0000,0.00003033,3.3666e-04,0.090098,0.380829,0.074008,0.599124,0.563964,0.000001,1,0,-0.999954,1.000013,0.000059
11.5000,0.00003664,3.6954e-04,0.099146,0.380818,0.070750,0.614275,0.534794,0.000000,1,0,-0.999921,0.999975,0.000054
