t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup,asim_geom,baja_geom,alta_geom
0.0000,0.00000069,4.0617e-05,NaN,0.396314,0.004779,0.000000,0.066683,0.000035,1,1,0.364709,0.251601,0.616310
0.5000,0.00000070,3.9937e-05,NaN,0.380701,-0.024588,0.700879,0.569203,0.000000,1,1,0.993835,0.001697,0.995532
1.0000,0.00000069,3.8792e-05,NaN,0.380785,-0.035453,0.742960,-0.206684,-0.000000,1,1,0.999899,0.000013,0.999912
1.5000,0.00000064,3.7570e-05,NaN,0.384117,-0.045951,0.767862,-0.012532,-0.000000,1,1,0.965542,0.014955,0.980497
2.0000,0.00000055,3.6336e-05,NaN,0.380801,-0.054963,0.809049,0.057744,0.000000,1,1,0.999994,0.000008,1.000002
2.5000,0.00000041,3.5683e-05,NaN,0.380783,-0.056382,0.795122,-0.487705,-0.000000,1,1,0.999848,0.000026,0.999874
3.0000,0.00000027,3.5308e-05,NaN,0.369563,-0.047302,0.808338,-0.108427,-0.000000,1,1,0.914065,0.010899,0.924964
3.5000,0.00000030,3.4645e-05,NaN,0.356986,-0.035786,0.795069,0.257871,0.000000,1,1,0.863206,0.010667,0.873873
4.0000,0.00000055,3.5062e-05,NaN,0.331247,-0.030099,0.790200,0.334716,0.000000,1,1,0.783442,0.005025,0.788468
4.5000,0.00000086,3.8062e-05,NaN,0.312076,-0.026670,0.780622,-0.931137,-0.000000,1,1,0.732105,-0.000051,0.732053
5.0000,0.00000113,3.9211e-05,NaN,0.281884,-0.023465,0.783140,0.253915,0.000000,1,1,0.617875,0.008419,0.626293
5.5000,0.00000107,5.1308e-05,NaN,0.259408,-0.015262,0.781056,0.220301,0.000000,1,1,0.348762,0.099132,0.447894
6.0000,0.00000072,6.7255e-05,NaN,0.237778,-0.003523,0.757148,-0.782440,-0.000000,1,1,0.016243,0.234401,0.250643
6.5000,0.00000060,8.8163e-05,NaN,0.224203,-0.001133,0.750007,0.864696,0.000000,1,1,-0.206829,0.333999,0.127170
7.0000,0.00000185,1.1976e-04,0.015488,0.227208,0.002574,0.732768,0.684484,0.000000,1,1,-0.359806,0.418693,0.058887
7.5000,0.00000435,1.5479e-04,0.028122,0.255121,-0.026478,0.785676,-0.376695,-0.000000,1,1,0.300050,0.116716,0.416766
8.0000,0.00000775,1.9109e-04,0.040551,0.288486,-0.041153,0.805073,0.580779,0.000000,1,1,0.622410,0.014340,0.636751
8.5000,0.00001176,2.2628e-04,0.051987,0.359713,-0.033657,0.772960,-0.354331,-0.000000,1,1,0.575962,0.118927,0.694889
9.0000,0.00001599,2.5827e-04,0.061895,0.417171,-0.017910,0.733355,0.013358,0.000000,1,1,0.366723,0.275071,0.641794
9.5000,0.00001993,2.8557e-04,0.069793,0.433923,-0.027111,0.737413,-0.509674,-0.000000,1,1,0.615772,0.198587,0.814360
10.0000,0.00002325,3.0788e-04,0.075518,0.387340,-0.045156,0.764980,-0.593971,-0.000000,1,0,0.986930,0.013085,1.000015
10.5000,0.00002591,3.2338e-04,0.080138,0.380785,-0.056946,0.778641,-0.505393,-0.000001,1,0,0.999978,-0.000010,0.999968
11.0000,0.00002830,3.3365e-04,0.084807,0.380820,-0.063398,0.784205,-0.563964,-0.000001,1,0,1.000076,0.000010,1.000085
11.5000,0.00003118,3.4732e-04,0.089776,0.380813,-0.062007,0.775212,-0.534794,-0.000000,1,0,1.000017,0.000018,1.000035
12.0000,0.00003569,3.6534e-04,0.097682,0.412744,-0.046833,0.742068,-0.397608,-0.000000,1,0,0.786029,0.111079,0.897108
12.5000,0.00004313,4.0038e-04,0.107720,0.460144,-0.017592,0.693878,0.997417,0.000000,1,0,0.275356,0.368683,0.644038
13.0000,0.00005465,4.4926e-04,0.121655,0.461577,0.002122,0.666899,-0.015873,-0.000000,1,0,-0.167276,0.586446,0.419170
13.5000,0.00007090,5.0427e-04,0.140599,0.449966,0.005999,0.659540,-0.904106,-0.000000,1,0,-0.308159,0.649852,0.341694
14.0000,0.00009165,5.7149e-04,0.160366,0.402335,0.019553,0.639284,-0.134329,-0.000000,1,0,-0.770637,0.873094,0.102457
14.5000,0.00011588,6.3718e-04,0.181859,0.394166,0.026684,0.624053,-0.994856,-0.000000,1,0,-0.903565,0.951517,0.047952
15.0000,0.00014115,7.0548e-04,0.200072,0.398451,0.029021,0.624683,0.140269,0.000000,1,0,-0.856257,0.925015,0.068758
15.5000,0.00016546,7.6334e-04,0.216765,0.389810,0.026983,0.627765,-0.184881,-0.000000,1,0,-0.867951,0.921260,0.053309
16.0000,0.00018531,8.1130e-04,0.228414,0.376989,0.028404,0.623969,0.966315,0.000000,1,0,-0.914616,0.935754,0.021138
16.5000,0.00019962,8.3782e-04,0.238266,0.375667,0.027650,0.628452,0.837636,0.000000,1,0,-0.921265,0.938791,0.017527
17.0000,0.00020810,8.4879e-04,0.245169,0.386067,0.024534,0.637281,0.958026,0.000000,1,0,-0.811357,0.879199,0.067842
17.5000,0.00021266,8.4880e-04,0.250539,0.418356,0.018789,0.648734,-0.871567,-0.000000,1,0,-0.459216,0.699415,0.240199
18.0000,0.00021773,8.4955e-04,0.256293,0.431278,0.012065,0.662437,-0.892469,-0.000000,1,0,-0.206981,0.572072,0.365091
18.5000,0.00022699,8.6150e-04,0.263484,0.434440,0.005242,0.675621,0.829125,0.000000,1,0,0.057758,0.439499,0.497257
19.0000,0.00024533,8.8792e-04,0.276299,0.424343,-0.001628,0.688055,0.396927,0.000000,1,0,0.361643,0.288318,0.649961
19.5000,0.00027629,9.5664e-04,0.288819,0.380810,-0.027609,0.731098,-0.754414,-0.000112,1,0,1.000027,0.000011,1.000038
20.0000,0.00032076,1.0327e-03,0.310598,0.380819,-0.050342,0.765330,-0.732914,-0.000000,1,0,1.000000,0.000030,1.000030
20.5000,0.00037573,1.1168e-03,0.336435,0.379936,-0.046510,0.756988,-0.891232,-0.000000,1,0,0.992565,0.001000,0.993565
21.0000,0.00043550,1.1982e-03,0.363469,0.380762,-0.037912,0.740746,-0.773691,-0.000000,1,0,1.000048,-0.000063,0.999985
21.5000,0.00049239,1.2734e-03,0.386674,0.376506,-0.031358,0.728082,-0.910194,-0.000000,1,0,0.979620,0.000082,0.979703
22.0000,0.00053888,1.3435e-03,0.401111,0.375990,-0.028825,0.723917,-0.776748,-0.000000,1,0,0.977582,-0.000007,0.977575
22.5000,0.00056985,1.3818e-03,0.412403,0.379391,-0.029860,0.724229,-0.289654,-0.000000,1,0,0.977336,0.004803,0.982139
23.0000,0.00058413,1.3959e-03,0.418452,0.380808,-0.038723,0.738657,-0.619564,-0.000003,1,0,0.999959,0.000028,0.999987
23.5000,0.00058483,1.3987e-03,0.418113,0.375778,-0.036994,0.735354,-0.570815,-0.000000,1,0,0.887231,0.027957,0.915188
24.0000,0.00057868,1.3844e-03,0.418008,0.371554,-0.016930,0.700454,-0.537796,-0.000000,1,0,0.405190,0.203063,0.608253
24.5000,0.00057432,1.3773e-03,0.417000,0.327701,0.000418,0.667487,-0.075758,-0.000000,1,0,-0.157441,0.421214,0.263773
25.0000,0.00052622,1.2313e-03,0.427375,0.279789,-0.013845,0.702177,-0.769831,-0.000000,1,0,0.174829,0.202419,0.377248
25.5000,0.00044249,1.0437e-03,0.423962,0.244319,-0.026253,0.740789,-0.803959,-0.000000,1,0,0.464151,0.030719,0.494870
26.0000,0.00033726,7.4917e-04,0.450181,0.273364,-0.033981,0.750501,-0.515225,-0.000002,1,0,0.613780,0.000015,0.613795
26.5000,0.00037467,8.1177e-04,0.461539,0.330326,-0.038993,0.743740,-0.798525,-0.000001,1,0,0.794040,0.000010,0.794050
27.0000,0.00043216,9.1441e-04,0.472614,0.362211,-0.032053,0.720529,-0.955417,-0.000000,1,0,0.830425,0.028677,0.859101
27.5000,0.00050185,1.0185e-03,0.492713,0.376313,-0.024077,0.703502,-0.624491,-0.000004,1,0,0.680832,0.099901,0.780732
28.0000,0.00057901,1.1654e-03,0.496847,0.358917,-0.031056,0.717978,-0.586694,-0.000003,1,0,0.895832,0.002435,0.898267
28.5000,0.00065889,1.3143e-03,0.501327,0.379558,-0.035670,0.721763,-0.549739,-0.000002,1,0,0.993824,0.000105,0.993929
29.0000,0.00073365,1.4475e-03,0.506830,0.381669,-0.035639,0.720336,-0.668686,-0.000000,1,0,0.986894,0.005125,0.992019
29.5000,0.00079390,1.5396e-03,0.515643,0.380799,-0.036945,0.721183,-0.769733,-0.000000,1,0,1.000002,0.000003,1.000005
30.0000,0.00083160,1.6047e-03,0.518233,0.423376,-0.022506,0.690512,0.189634,0.000000,1,0,0.598223,0.191055,0.789278
30.5000,0.00084447,1.6251e-03,0.519652,0.434689,-0.005326,0.659993,-0.594985,-0.000001,1,0,0.024324,0.453618,0.477942
31.0000,0.00083641,1.6143e-03,0.518123,0.413126,-0.012587,0.671511,-0.804576,-0.000130,1,0,0.164139,0.360199,0.524339
31.5000,0.00081386,1.5881e-03,0.512480,0.395757,-0.018598,0.683016,-0.588942,-0.000002,1,0,0.185546,0.329418,0.514964
32.0000,0.00078985,1.5583e-03,0.506858,0.380500,-0.021248,0.688097,-0.662574,-0.000000,1,0,0.267793,0.273822,0.541614
32.5000,0.00077576,1.5379e-03,0.504434,0.364730,-0.024852,0.695501,-0.493483,-0.000004,1,0,0.410866,0.192652,0.603518
