t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
0.0000,0.216623,0.414413,0.020792,0.309054,-0.066683
0.5000,0.186345,0.000001,0.199218,0.000000,-0.569203
1.0000,0.188871,0.000000,0.190095,0.000000,0.206684
1.5000,0.149498,0.000000,0.149822,0.000000,0.012532
2.0000,0.158625,0.000000,0.159276,0.000001,-0.057744
2.5000,0.168006,0.000000,0.172068,0.000000,0.487705
3.0000,0.126110,0.000000,0.126055,0.000000,0.108427
3.5000,0.169758,0.000000,0.169222,0.000000,-0.257871
4.0000,0.280837,0.000005,0.199416,0.000003,-0.334716
4.5000,0.158628,0.000000,0.164572,0.000000,0.931137
5.0000,0.125702,0.000000,0.125717,0.000000,-0.253915
5.5000,0.186732,0.000015,0.206410,0.000010,-0.220301
6.0000,0.195637,0.000000,0.204433,0.000000,0.782440
6.5000,0.138973,0.000000,0.136924,0.000000,-0.864696
7.0000,0.172983,0.000000,0.169046,0.000000,-0.684484
7.5000,0.145344,0.000010,0.141380,0.000021,0.376695
8.0000,0.199134,0.000000,0.196824,0.000000,-0.580779
8.5000,0.147197,0.000000,0.148164,0.000000,0.354331
9.0000,0.125140,0.000000,0.125135,0.000000,-0.013358
9.5000,0.140356,0.001665,0.143861,0.001700,0.509674
10.0000,0.160809,0.000855,0.184068,0.001092,0.593971
10.5000,0.286209,0.007357,0.313656,0.009918,0.505393
11.0000,0.262052,0.003218,0.356298,0.008410,0.563964
11.5000,0.211351,0.003779,0.242019,0.005430,0.534794
12.0000,0.163919,0.000000,0.160498,0.000000,0.397608
12.5000,0.131311,0.000005,0.131260,0.000000,-0.997417
13.0000,0.157717,0.008153,0.145260,0.007305,0.015873
13.5000,0.141060,0.000227,0.139901,0.000347,0.904106
14.0000,0.187565,0.005596,0.184216,0.005497,0.134329
14.5000,0.142585,0.000968,0.154587,0.001563,0.994856
15.0000,0.130644,0.000027,0.132347,0.000053,-0.140269
15.5000,0.172102,0.000366,0.173920,0.000443,0.184881
16.0000,0.164272,0.000020,0.169800,0.000013,-0.966315
16.5000,0.148262,0.000345,0.149346,0.000385,-0.837636
17.0000,0.174491,0.000188,0.209168,0.000087,-0.958026
17.5000,0.251472,0.000017,0.259858,0.000019,0.871567
18.0000,0.128139,0.003363,0.126843,0.003277,0.892469
18.5000,0.167137,0.000140,0.154767,0.000090,-0.829125
19.0000,0.127925,0.001070,0.128680,0.001225,-0.396927
19.5000,0.129553,0.007366,0.129596,0.052409,0.754414
20.0000,0.127168,0.000000,0.126888,0.000001,0.732914
20.5000,0.126553,0.000003,0.126234,0.000013,0.891232
21.0000,0.127936,0.000015,0.128160,0.000035,0.773691
21.5000,0.164867,0.000185,0.179021,0.000330,0.910194
22.0000,0.127854,0.000003,0.130079,0.000001,0.776748
22.5000,0.125286,0.000307,0.125256,0.000319,0.289654
23.0000,0.199428,0.000024,0.219863,0.000073,0.619564
23.5000,0.127109,0.000000,0.127572,0.000000,0.570815
24.0000,0.133807,0.000402,0.134758,0.000570,0.537796
24.5000,0.125705,0.000000,0.125676,0.000000,0.075758
25.0000,0.126339,0.000616,0.126614,0.000728,0.769831
25.5000,0.190235,0.000005,0.189216,0.000008,0.803959
26.0000,0.373595,0.000140,0.289023,0.000313,0.515225
26.5000,0.132645,0.000002,0.132570,0.000004,0.798525
27.0000,0.149605,0.000011,0.142051,0.000030,0.955417
27.5000,0.147056,0.000015,0.152402,0.000056,0.624491
28.0000,0.175425,0.000128,0.179026,0.000344,0.586694
28.5000,0.212745,0.000010,0.186326,0.000024,0.549739
29.0000,0.127351,0.000018,0.127397,0.000024,0.668686
29.5000,0.129435,0.000001,0.129556,0.000001,0.769733
30.0000,0.125290,0.000000,0.125242,0.000000,-0.189634
30.5000,0.325580,0.012367,0.304302,0.013956,0.594985
31.0000,0.128320,0.002054,0.128335,0.018829,0.804576
31.5000,0.183332,0.000185,0.155899,0.000212,0.588942
