t,ged,var_int,efic,geom,busc,omega,gradE,coh,lf,warmup
0.0000,0.00020770,1.4573e-03,0.142521,0.331013,-0.020621,0.000000,0.066683,0.000010,1,1
0.5000,0.00022388,1.5146e-03,0.147808,0.308882,0.008513,0.632348,0.569203,0.000000,1,1
1.0000,0.00024396,1.5973e-03,0.152738,0.380789,0.039439,0.598350,-0.206684,-0.000000,1,1
1.5000,0.00026242,1.6812e-03,0.156087,0.380788,0.055715,0.573810,-0.012532,-0.000000,1,1
2.0000,0.00027412,1.7351e-03,0.157984,0.380776,0.060631,0.598226,0.057744,0.000000,1,1
2.5000,0.00027543,1.7425e-03,0.158060,0.380813,0.062687,0.572096,-0.487705,-0.000000,1,1
3.0000,0.00026498,1.6982e-03,0.156037,0.380774,0.067211,0.596643,-0.108427,-0.000000,1,1
3.5000,0.00024372,1.6198e-03,0.150462,0.380785,0.068434,0.598310,0.257871,0.000000,1,1
4.0000,0.00021507,1.5244e-03,0.141087,0.380796,0.060154,0.616149,0.334716,0.000000,1,1
4.5000,0.00018398,1.4230e-03,0.129297,0.384158,0.047707,0.634108,-0.931137,-0.000000,1,1
5.0000,0.00015590,1.3195e-03,0.118153,0.379488,0.034559,0.663755,0.253915,0.000000,1,1
5.5000,0.00013544,1.2319e-03,0.109946,0.380815,0.027038,0.693768,0.220301,0.000000,1,1
6.0000,0.00012529,1.1578e-03,0.108210,0.383920,0.024467,0.703620,-0.782440,-0.000000,1,1
6.5000,0.00012577,1.1329e-03,0.111013,0.378945,0.014465,0.720738,0.864696,0.000000,1,1
7.0000,0.00013500,1.1650e-03,0.115877,0.390894,0.007961,0.726590,0.684484,0.000000,1,1
7.5000,0.00014974,1.2325e-03,0.121496,0.432723,-0.029057,0.762661,-0.376695,-0.000000,1,1
8.0000,0.00016614,1.3193e-03,0.125931,0.390433,-0.049537,0.795787,0.580779,0.000000,1,1
8.5000,0.00018050,1.3940e-03,0.129486,0.374251,-0.045881,0.790843,-0.354331,-0.000000,1,1
