ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
0,1,0,1.0,0.0,3.2268187910985517e-06,1.6307170782301882e-08,1.0,0
1,2,1,0.0,0.0,3.2412245035406154e-06,0.001223006403273983,22.585999702031295,0
2,3,1,0.0,0.0,3.596200293014429e-06,0.001399881679250191,21.936168055326497,0
3,4,1,0.0,0.0,4.255083089863461e-06,0.0016493145246594862,21.667482962823897,0
4,5,1,0.0,0.0,3.1272300890946327e-06,0.001601113590036729,21.461592375498846,0
5,6,1,0.0,0.0,3.6169741440664706e-06,0.001319349222697016,21.509752455277354,0
6,7,1,0.0,0.0,3.2274745873507837e-06,0.0014759004988793131,21.371746207639443,0
7,8,1,0.0,0.0,3.446723374559858e-06,0.00134452201593612,21.319156598351828,0
8,9,1,0.0,0.0,3.364992985265054e-06,0.0015043352299598965,21.33849919653872,0
9,10,1,0.0,0.0,4.108893999881133e-06,0.001593729976336289,21.28425448269674,0
10,11,1,0.0,0.0,3.4099636941784717e-06,0.001634082446164607,21.310046343083023,0
11,12,1,0.0,0.0,3.873026537497297e-06,0.001533126238752691,21.307953362829778,0
12,13,1,0.0,0.0,3.319174633011721e-06,0.001424952636934348,21.316107962196536,0
13,14,1,0.0,0.0,3.4482466371199246e-06,0.0013259817667481614,21.38169168794728,0
14,15,1,0.0,0.0,3.088743510425652e-06,0.0012373675530069394,21.376644171526973,0
15,16,1,0.0,0.0,3.538667900076697e-06,0.0012576025663803801,21.341315376861186,0
16,17,1,0.0,0.0,3.849677361155379e-06,0.001616015364961254,21.319170249891965,0
17,18,1,0.0,0.0,3.835011113186919e-06,0.0016274003820145873,21.27047020059358,0
18,19,1,0.0,0.0,3.965561184205586e-06,0.0015282066247161478,21.280259608726848,0
19,20,1,0.0,0.0,3.7207459281919313e-06,0.001611716606123682,21.298782610984823,0
20,21,1,0.0,0.0,3.235588540699368e-06,0.001352047331198354,21.353334801443477,0
21,22,1,0.0,0.0,4.046484651074187e-06,0.0014611764981453056,21.390321226205998,0
22,23,1,0.0,0.0,3.5248017507072517e-06,0.001646509156566124,21.365105927918055,0
23,24,1,0.0,0.0,3.934094207789476e-06,0.0016827443396802968,21.289110681834494,0
24,25,1,0.0,0.0,3.6882490754721344e-06,0.0016375515062546186,21.209687686210348,0
25,26,1,0.0,0.0,3.813463617777232e-06,0.0016549168746064443,21.15634953122659,0
26,27,1,0.0,0.0,3.5436465515523555e-06,0.0015233597930346984,21.128974847585155,0
27,28,1,0.0,0.0,2.979222378786904e-06,0.0012080278192061335,21.138769338336488,0
28,29,1,0.0,0.0,3.8219903739432895e-06,0.0013408040967531729,21.13321514501058,0
29,30,1,0.0,0.0,2.9545393265038215e-06,0.0014634597250230128,21.020931552006815,0
30,31,1,0.0,0.0,3.4577576943518365e-06,0.0014052261103627553,20.970286790877832,0
31,32,1,0.0,0.0,3.982198293535639e-06,0.0016071401975707987,20.94334883632886,0
32,33,1,0.0,0.0,3.164700792190462e-06,0.0014987681016710172,20.93775902886648,0
33,34,1,0.0,0.0,3.4636864888159075e-06,0.001326547669756195,20.967179220979745,0
34,35,1,0.0,0.0,3.783015514009947e-06,0.0015958997199341295,21.00660126503969,0
35,36,1,0.0,0.0,3.246598543442488e-06,0.001333344707835566,21.04174369251998,0
36,37,1,0.0,0.0,3.449461841404134e-06,0.001224771104986279,21.064878082710525,0
37,38,1,0.0,0.0,3.4046322744369665e-06,0.0015150344130612963,21.06700665161485,0
38,39,1,0.0,0.0,3.609590948498623e-06,0.0013695281123881475,21.05991242917134,0
39,40,1,0.0,0.0,3.8069273018385742e-06,0.0015881498303068771,21.027667273405534,0
40,41,1,0.0,0.0,3.4339436669206724e-06,0.0016592975119195516,20.997905717225983,0
41,42,1,0.0,0.0,3.1917885947200542e-06,0.0014267841356188835,20.98393073230249,0
42,43,1,0.0,0.0,3.858479640037241e-06,0.0015239112999272145,20.989864390154498,0
43,44,1,0.0,0.0,3.3482475542008263e-06,0.0014542380854777053,21.042057677240027,0
44,45,1,0.0,0.0,3.8775252080918104e-06,0.0014778428359198117,21.07378584574583,0
45,46,1,0.0,0.0,2.8445396491843235e-06,0.0013485774914075194,21.074645375311842,0
46,47,1,0.0,0.0,3.0312926684257753e-06,0.0011606503486319576,21.04335900237648,0
47,48,1,0.0,0.0,3.5667946034397654e-06,0.0013110483222983026,21.042847197182912,0
48,49,1,0.0,0.0,4.034439551576653e-06,0.001583618245756131,21.0723535584669,0
49,50,1,0.0,0.0,3.761551358339805e-06,0.0017322023634342215,21.07542065186378,0
50,51,1,0.0,0.0,3.4820733205331775e-06,0.0014950840870708712,21.065035269693862,0
51,52,1,0.0,0.0,3.626703964825163e-06,0.0014289843809168691,21.07351288707768,0
52,53,1,0.0,0.0,3.5252516935778094e-06,0.0013795255982970022,21.09986693956719,0
53,54,1,0.0,0.0,3.19584934473813e-06,0.0014633082558320608,21.101076794761006,0
54,55,1,0.0,0.0,3.819658759337295e-06,0.0014706472775447758,21.095533028857474,0
55,56,1,0.0,0.0,3.4152239495077834e-06,0.0013945030916895174,21.094353334138635,0
56,57,1,0.0,0.0,2.9840432207144513e-06,0.0012387055611783192,21.098407803649746,0
57,58,1,0.0,0.0,4.013464372176778e-06,0.0014504269579424848,21.099627806966975,0
58,59,1,0.0,0.0,3.5247727282810937e-06,0.0015506583787825608,21.08453931678253,0
59,60,1,0.0,0.0,3.905898005562244e-06,0.0015336848264689644,21.063913835282808,0
60,61,1,0.0,0.0,3.994302074882573e-06,0.0017523243655944896,21.063925319428613,0
61,62,1,0.0,0.0,3.6363191519907735e-06,0.0017716322069224596,21.057623400880207,0
62,63,1,0.0,0.0,3.8237344887182595e-06,0.0017380983961315115,21.03267267457867,0
63,64,1,0.0,0.0,4.1227623496443645e-06,0.0017786976030757825,21.028488305426954,0
64,65,1,0.0,0.0,3.080298874327001e-06,0.0016372496527104173,21.033891488961522,0
65,66,1,0.0,0.0,4.089432054461594e-06,0.001515628616697204,21.041345885884287,0
66,67,1,0.0,0.0,3.6811560653967597e-06,0.0016363557098960943,21.045091946157555,0
67,68,1,0.0,0.0,3.7429732425904947e-06,0.00154033985099287,21.050283990600352,0
68,69,1,0.0,0.0,3.300340769358109e-06,0.0015105359954068072,21.039066844484488,0
69,70,1,0.0,0.0,2.9354637253847483e-06,0.001262680864601434,21.00960222458507,0
70,71,1,0.0,0.0,2.811895907659585e-06,0.0011760972319353087,20.978976862300016,0
71,72,1,0.0,0.0,3.628786431411355e-06,0.0013446530149922678,20.965147554893345,0
72,73,1,0.0,0.0,3.4718050320062333e-06,0.0015036105372705608,20.95366961427826,0
73,74,1,0.0,0.0,3.14879400631951e-06,0.001272698974731046,20.957142924761104,0
74,75,1,0.0,0.0,2.859289350976244e-06,0.0012221982553474373,20.954091993713746,0
75,76,1,0.0,0.0,3.285598786658861e-06,0.0011737475840288636,20.927374395341097,0
76,77,1,0.0,0.0,3.652440052717048e-06,0.0015348387922149238,20.89894712419276,0
77,78,1,0.0,0.0,3.680825464149234e-06,0.0015622074351528258,20.87558220671935,0
78,79,1,0.0,0.0,3.633610453613403e-06,0.0015811531905233953,20.865660572561758,0
79,80,1,0.0,0.0,2.965340507998473e-06,0.0015434479612658944,20.82933404751272,0
80,81,1,0.0,0.0,4.165744157368118e-06,0.0013980500076518662,20.805190812200912,0
81,82,1,0.0,0.0,3.769992833619322e-06,0.0018157005377631256,20.7893012794849,0
82,83,1,0.0,0.0,3.399760674340175e-06,0.0015129003339547735,20.7816213613587,0
83,84,1,0.0,0.0,3.848485872043332e-06,0.001489817953022935,20.7712957710766,0
84,85,1,0.0,0.0,3.661729822990635e-06,0.0015783613169976212,20.76026774005897,0
85,86,1,0.0,0.0,3.836536368496608e-06,0.00156078524442678,20.75831776923625,0
86,87,1,0.0,0.0,3.6896463219148125e-06,0.0016507963896413807,20.7625064984774,0
87,88,1,0.0,0.0,3.4444816859486254e-06,0.0015881247859270448,20.762546242347025,0
88,89,1,0.0,0.0,3.647869539421141e-06,0.0015749378947716695,20.76088384647155,0
89,90,1,0.0,0.0,2.9650908370324036e-06,0.0012213304513415892,20.76885234490488,0
90,91,1,0.0,0.0,3.293137375650878e-06,0.0011705310017532024,20.762557573191582,0
91,92,1,0.0,0.0,3.5988971668915107e-06,0.0014681139742463946,20.753082474994248,0
92,93,1,0.0,0.0,3.509979081578838e-06,0.0014485331839759455,20.752035795386753,0
93,94,1,0.0,0.0,3.457151865559903e-06,0.0013769419641115272,20.745135689979172,0
94,95,1,0.0,0.0,3.7806126761548504e-06,0.0015441919539796894,20.746731382334232,0
95,96,1,0.0,0.0,3.5515834665228243e-06,0.0016075711554695707,20.743486749304267,0
96,97,1,0.0,0.0,3.1950798780453452e-06,0.0012868903653123656,20.733582403812942,0
97,98,1,0.0,0.0,3.291949303391454e-06,0.0012704605679076746,20.744177115058104,0
98,99,1,0.0,0.0,4.014812399385039e-06,0.0014483848712427074,20.766721961857627,0
99,100,1,0.0,0.0,3.577366172156861e-06,0.001707437102385813,20.778240957331896,0
100,101,1,0.0,0.0,3.746424076570929e-06,0.0015760756321674787,20.793457090638526,0
101,102,1,0.0,0.0,3.997931137339056e-06,0.0016684295053306629,20.808339115377837,0
102,103,1,0.0,0.0,3.843757818408368e-06,0.00170669109009877,20.82234481563443,0
103,104,1,0.0,0.0,2.8854492271454604e-06,0.0013659654657749633,20.83248679893284,0
104,105,1,0.0,0.0,3.5403964350634266e-06,0.0012574085837841456,20.834825237896446,0
105,106,1,0.0,0.0,3.5909521067678147e-06,0.0015720259434901327,20.829868980039826,0
106,107,1,0.0,0.0,2.932939838020258e-06,0.0013344945254333109,20.814166796416053,0
107,108,1,0.0,0.0,3.372389697618287e-06,0.0012838354699958162,20.799692565270576,0
108,109,1,0.0,0.0,3.98420574141753e-06,0.0014635397158436906,20.808257897090147,0
109,110,1,0.0,0.0,3.915505649573972e-06,0.001659046712054529,20.829956341608394,0
110,111,1,0.0,0.0,2.668906006232107e-06,0.0012334089673049255,20.831199556224878,0
111,112,1,0.0,0.0,3.2827121875312796e-06,0.0011449794456192017,20.827735549679907,0
112,113,1,0.0,0.0,3.881475699912231e-06,0.0015297970288330968,20.82969158100543,0
113,114,1,0.0,0.0,3.770987080940219e-06,0.0016853816442077662,20.826245555885198,0
114,115,1,0.0,0.0,3.51700150290499e-06,0.0015512092533277106,20.825914659973673,0
115,116,1,0.0,0.0,3.4704361290651723e-06,0.001440663201405686,20.832672006666797,0
116,117,1,0.0,0.0,3.7700155969911918e-06,0.0015701392097986237,20.828554762457845,0
117,118,1,0.0,0.0,3.7856861446300233e-06,0.0016093192201671468,20.82213036954544,0
118,119,1,0.0,0.0,3.934155509205073e-06,0.0015529174713065932,20.82385518547567,0
119,120,1,0.0,0.0,3.183557582138705e-06,0.0014944233301209637,20.825776301827485,0
120,121,1,0.0,0.0,3.341080367352302e-06,0.0013276929417999715,20.824164559350244,0
121,122,1,0.0,0.0,3.669865877900528e-06,0.0015775203821170036,20.822758554170285,0
122,123,1,0.0,0.0,3.128294741705002e-06,0.0014830033512558795,20.825507194951513,0
123,124,1,0.0,0.0,3.555177824664556e-06,0.0013367518340086301,20.82550736217161,0
