ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
0,1,0,1.0,0.0,3.727838995114243e-06,1.5482467102432296e-08,1.0,0
1,2,1,0.0,0.0,3.385173034103706e-06,0.0015409638668812875,20.018218478393962,0
2,3,1,0.0,0.0,3.3227512509964705e-06,0.0015605291206150732,19.2204474882477,0
3,4,1,0.0,0.0,3.1266607763413137e-06,0.0013625802492721196,19.113697868713572,0
4,5,1,0.0,0.0,2.9741047691594208e-06,0.0012664874207352227,19.163659850811158,0
5,6,1,0.0,0.0,3.3232382555506055e-06,0.0013549452219797967,19.209708248844606,0
6,7,1,0.0,0.0,3.403754624384519e-06,0.0014311925993225516,19.46195481471826,0
7,8,1,0.0,0.0,3.4782645684892492e-06,0.001407309370504797,19.763815908033767,0
8,9,1,0.0,0.0,3.3283188242644408e-06,0.0014069505778513808,19.907644834003392,0
9,10,1,0.0,0.0,3.897848582835832e-06,0.00142900771137282,20.016131428604115,0
10,11,1,0.0,0.0,2.8650880745340437e-06,0.0013660867143321688,19.957654717140652,0
11,12,1,0.0,0.0,3.0560465344242547e-06,0.0012897824608770429,19.9091243585201,0
12,13,1,0.0,0.0,2.892603674590229e-06,0.0011675545515254298,20.02229660040419,0
13,14,1,0.0,0.0,3.6893034576189834e-06,0.001281281901501977,20.060815188515082,0
14,15,1,0.0,0.0,3.7142550574465804e-06,0.001745467273863585,20.007509730254714,0
15,16,1,0.0,0.0,3.7620382580652624e-06,0.001567964485717428,20.008127716404292,0
16,17,1,0.0,0.0,3.4096709621961958e-06,0.0014331165980821978,20.031525984207192,0
17,18,1,0.0,0.0,3.7314121079234747e-06,0.0014139033613152405,20.028053611841283,0
18,19,1,0.0,0.0,3.7392656481312594e-06,0.0014897878944077438,20.065356753610555,0
19,20,1,0.0,0.0,3.975686413024461e-06,0.0016601404403208063,20.170875243514047,0
20,21,1,0.0,0.0,3.2777577462584526e-06,0.0015077596597221816,20.165839252665958,0
21,22,1,0.0,0.0,3.119706888728756e-06,0.001344314238279332,20.086020475916627,0
22,23,1,0.0,0.0,3.693341289328187e-06,0.0014195318593906957,20.064501906214478,0
23,24,1,0.0,0.0,2.8746406965253084e-06,0.0013840099185387176,20.089883550369926,0
24,25,1,0.0,0.0,3.427022116337074e-06,0.001273780401824126,20.132031906462938,0
25,26,1,0.0,0.0,3.203026278378348e-06,0.001328947086683531,20.14811087112666,0
26,27,1,0.0,0.0,3.316320394018655e-06,0.0013331122737545661,20.123275938091595,0
27,28,1,0.0,0.0,4.048099477801933e-06,0.0014699880878151796,20.136799965838616,0
28,29,1,0.0,0.0,3.2183060977711275e-06,0.0015794983836465827,20.150102413245918,0
29,30,1,0.0,0.0,3.628227906737331e-06,0.0015033247814431063,20.102294361852817,0
30,31,1,0.0,0.0,3.896804085514913e-06,0.0016309507276511597,20.07913151130629,0
31,32,1,0.0,0.0,4.01622907769893e-06,0.0017437821872668163,20.143009125361537,0
32,33,1,0.0,0.0,3.5596323460592034e-06,0.0015724386861843617,20.160046493832894,0
33,34,1,0.0,0.0,3.440079361824266e-06,0.001580370965947984,20.133914793040603,0
34,35,1,0.0,0.0,3.3601316918411513e-06,0.0013098877035274455,20.140224393022024,0
35,36,1,0.0,0.0,3.6103070182085842e-06,0.0013873399983962186,20.16895136486107,0
36,37,1,0.0,0.0,3.880876625031244e-06,0.001638964305925472,20.176739849177906,0
37,38,1,0.0,0.0,3.292295229499189e-06,0.0016110823726372132,20.144089877185536,0
38,39,1,0.0,0.0,3.612856482573192e-06,0.001447480455499826,20.10442209240939,0
39,40,1,0.0,0.0,3.6449018147848117e-06,0.0016557999494974005,20.067605142703815,0
40,41,1,0.0,0.0,3.423014382981123e-06,0.0014711241919530518,20.026945561704736,0
41,42,1,0.0,0.0,3.8002310383447833e-06,0.0014290101905397234,20.032374314950953,0
42,43,1,0.0,0.0,3.608686096270506e-06,0.0015017829055457342,20.050664872108076,0
43,44,1,0.0,0.0,3.535263910293947e-06,0.0017430537706022654,20.03602745949785,0
44,45,1,0.0,0.0,3.0212181965197012e-06,0.0013086082049355392,20.04094964002152,0
45,46,1,0.0,0.0,3.573905830917185e-06,0.0012758834040702575,20.063415845654806,0
46,47,1,0.0,0.0,3.2299798984638637e-06,0.0013532870371601889,20.08172098000903,0
47,48,1,0.0,0.0,3.8403013097891584e-06,0.0014356834060148885,20.09057360178261,0
48,49,1,0.0,0.0,3.4784742303879925e-06,0.001525388391251976,20.138859754178018,0
49,50,1,0.0,0.0,3.84176206887774e-06,0.001476343616850729,20.164317039169088,0
50,51,1,0.0,0.0,3.411990982723878e-06,0.0016831350999357481,20.14082799587065,0
51,52,1,0.0,0.0,3.0079459773747806e-06,0.0012276056096900715,20.156783284884533,0
52,53,1,0.0,0.0,3.3607633405659337e-06,0.0011549707944441983,20.17739343941504,0
53,54,1,0.0,0.0,2.486694538808866e-06,0.001198927123678232,20.167914893886973,0
54,55,1,0.0,0.0,2.916611044131744e-06,0.000989270287365787,20.161905116923574,0
55,56,1,0.0,0.0,3.2017505583779893e-06,0.001095386324001652,20.16432345930084,0
